處置,會遺失欄位,狀態不一致,群組,保留-名稱,保留-代碼,保留-負責業務,保留-電話,保留-往來,保留-連結,刪除-名稱,刪除-狀態,刪除-負責業務,刪除-電話,刪除-往來,刪除-建檔日,刪除-連結
"C 需人工合併","—","—","石松牙體技術所@臺南市永康區","石松牙體技術所","2Y05310065","公司","06-2314950","—","https://www.notion.so/335dcdaafb2a8183b895f71d198e822f","石松牙體技術所","空","空","(06)233-2685   0983-998068","visits1","2026-04-08","https://www.notion.so/33cdcdaafb2a81f18251c2f4013dbf8d"
"C 需人工合併","—","—","鼎田牙體技術所@臺南市東區","鼎田牙體技術所","2Y05320043","空","06-2675698 / (06)2675-698 / 0963-282198","—","https://www.notion.so/335dcdaafb2a8115a848d32e4ebb9ecb","鼎田牙體技術所","空","空","(06)267-5698. 0963-282-198","visits1","2026-04-08","https://www.notion.so/33cdcdaafb2a8124ac10e90e111473ea"
"C 需人工合併","負責人","—","一心牙體技術所@臺北市文山區","一心牙體技術所","無","Hank","02-29338655","visits2","https://www.notion.so/33cdcdaafb2a8132bbd6ffe73414f958","一心牙體技術所","空","Hank","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a8115bc6bd04636409926"
"C 需人工合併","負責人","—","永吉牙體技術所@屏東縣萬丹鄉","永吉牙體技術所","2Y43050013","空","08-7778977","—","https://www.notion.so/335dcdaafb2a81c18b27f28a13bda5d2","永吉牙體技術所","空","空","08-7778977 0936-378-977","visits2","2026-04-02","https://www.notion.so/336dcdaafb2a8108a8e9c13493c8886b"
"C 需人工合併","電話/機構代碼/人員數","—","浩新牙體技術所@桃園市桃園區","浩新牙體技術所","無","Sam","無","visits14","https://www.notion.so/336dcdaafb2a81a88f54fb2816c34e98","浩新牙體技術所","開業","空","3613549","—","2026-04-01","https://www.notion.so/335dcdaafb2a81e8bbebce13750fe4d4"
"C 需人工合併","負責人","—","昶勝牙體技術所@桃園市桃園區","昶勝牙體技術所","2Y32010361","Sam","03-3758087","—","https://www.notion.so/335dcdaafb2a819a8f5ed6d7731509ca","昶勝牙體技術所","空","Sam","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a8107ad9fe16639ffbf6d"
"C 需人工合併","—","—","永新牙體技術所@新北市新莊區","永新牙體技術所","2Y31060170","空","29941415","—","https://www.notion.so/335dcdaafb2a8176b046fff00940a739","永新牙體技術所","空","空","無","visits2","2026-04-02","https://www.notion.so/336dcdaafb2a8100a0ebe123341241b2"
"C 需人工合併","—","—","全美牙體技術所@新北市新店區","全美牙體技術所","無","空","無","visits4","https://www.notion.so/336dcdaafb2a811ab795f75feaadd2c5","全美牙體技術所","已歇業","空","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a81279f52ce2e0cf1269b"
"C 需人工合併","負責人","—","耀升牙體技術所@新北市板橋區","耀升牙體技術所","2Y31010090","空","02-29693396","—","https://www.notion.so/335dcdaafb2a81e692ebd9cf20a73cca","耀升牙體技術所","空","空","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a81c597c6e929f338478f"
"C 需人工合併","負責人","—","大豐牙體技術所@新北市板橋區","大豐牙體技術所","2Y31010492","空","(02) 29548057","—","https://www.notion.so/335dcdaafb2a81ff8018ce8f55b0d8d2","大豐牙體技術所","空","空","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a8154a4a1e1a230d08feb"
"C 需人工合併","負責業務/負責人","—","明浩牙體技術所@臺北市大安區","明浩牙體技術所","2Y01020113","空","02-27384789","—","https://www.notion.so/335dcdaafb2a81a4ab16e9159d303e5f","明浩牙體技術所","開業","Duncan","無","visits1","2026-04-02","https://www.notion.so/336dcdaafb2a813e99ebe341bb76f345"
