名稱,動作,內容,連結
"六禾牙體技術所","fill","負責人=葉先生","https://www.notion.so/335dcdaafb2a81acb63dfe5241b80fa3"
"六禾牙體技術所","archive","@嘉義市西區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81acb63dfe5241b80fa3","https://www.notion.so/336dcdaafb2a812cb123e1991d74d680"
"明昌牙體技術所","fill","負責業務=Amy | 負責人=張獻朋先生","https://www.notion.so/335dcdaafb2a81a1985bca85b9a67436"
"明昌牙體技術所","archive","@嘉義市西區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81a1985bca85b9a67436","https://www.notion.so/336dcdaafb2a811d87c9e8988b586240"
"杏昌牙體技術所","fill","負責人=林慶茂先生)XXX(改542007","https://www.notion.so/335dcdaafb2a8196b193d1ec59749b10"
"杏昌牙體技術所","archive","@南投縣草屯鎮 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8196b193d1ec59749b10","https://www.notion.so/336dcdaafb2a81bbaf92d0ae73df14c9"
"維智牙體技術所","fill","負責業務=盤商 | 負責人=鄭維智先生","https://www.notion.so/335dcdaafb2a81e9ab4dea3569d9a122"
"維智牙體技術所","archive","@彰化縣彰化市 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81e9ab4dea3569d9a122","https://www.notion.so/336dcdaafb2a81b19f6be8661c0250d0"
"呈宇牙體技術所","fill","負責業務=公司 | 負責人=簡佑霖先生","https://www.notion.so/335dcdaafb2a81fcb292fc8dfa262346"
"呈宇牙體技術所","archive","@臺中市大雅區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81fcb292fc8dfa262346","https://www.notion.so/336dcdaafb2a81c480d4c60e80959176"
"富山牙體技術所","fill","負責人=潘文山先生","https://www.notion.so/335dcdaafb2a81ac801de44edaf344de"
"富山牙體技術所","archive","@臺中市北屯區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81ac801de44edaf344de","https://www.notion.so/336dcdaafb2a811ab1e6cf54d9aaa600"
"至將牙體技術所","fill","負責人=至將牙體技術所、張先生","https://www.notion.so/335dcdaafb2a81c8a3fdfe16a5338332"
"至將牙體技術所","archive","@臺中市東區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81c8a3fdfe16a5338332","https://www.notion.so/336dcdaafb2a81879ea2dedc951b33f6"
"翰齡牙體技術所","fill","負責人=葉明燿先生、葉先生","https://www.notion.so/335dcdaafb2a814299f6c16e35910ceb"
"翰齡牙體技術所","archive","@桃園市楊梅區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a814299f6c16e35910ceb","https://www.notion.so/336dcdaafb2a8175ae18ecad4a2a8182"
"永豐牙體技術所","fill","負責人=阮明山先生","https://www.notion.so/335dcdaafb2a8123a1a3d7180edafc05"
"永豐牙體技術所","archive","@桃園市中壢區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8123a1a3d7180edafc05","https://www.notion.so/336dcdaafb2a8140a865db4c30349c15"
"志冠牙體技術所","fill","負責業務=盤商 | 負責人=王仁志先生","https://www.notion.so/335dcdaafb2a81709791ddfae027ac42"
"志冠牙體技術所","archive","@新竹市北區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81709791ddfae027ac42","https://www.notion.so/336dcdaafb2a81a4b361e9d6d520549a"
"冠宇牙體技術所","fill","負責業務=Edward | 負責人=陳先生","https://www.notion.so/335dcdaafb2a8165bd56ed65e2d5686a"
"冠宇牙體技術所","archive","@新北市新莊區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8165bd56ed65e2d5686a","https://www.notion.so/336dcdaafb2a8161b075e2a42858e502"
"禾京牙體技術所","fill","負責人=鄭楷翰","https://www.notion.so/335dcdaafb2a81d3b77fcb2135f454bb"
"禾京牙體技術所","archive","@新北市汐止區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81d3b77fcb2135f454bb","https://www.notion.so/336dcdaafb2a81bbba09de420084fa2d"
"德合牙體技術所","fill","負責人=王先生","https://www.notion.so/335dcdaafb2a81f5bfbed88218b6ed6c"
"德合牙體技術所","archive","@臺北市內湖區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a81f5bfbed88218b6ed6c","https://www.notion.so/336dcdaafb2a81188324d220e4b09cfc"
"上恩牙體技術所","fill","負責人=李佶得先生、李先生","https://www.notion.so/335dcdaafb2a8120a817cf77a7ea8ef9"
"上恩牙體技術所","archive","@臺北市大安區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8120a817cf77a7ea8ef9","https://www.notion.so/336dcdaafb2a81edaefde86b11f8034f"
"和田牙體技術所","archive","@臺北市大安區 建檔2026-04-02｜保留 https://www.notion.so/33cdcdaafb2a81608022ee3278057e20","https://www.notion.so/336dcdaafb2a81c99062fbf7fce4c500"
"鼎田牙體技術所","archive","@臺南市東區 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a8115a848d32e4ebb9ecb","https://www.notion.so/336dcdaafb2a81e1a50fd6f61428ee26"
"永興牙體技術所","archive","@臺南市北區 建檔2026-04-08｜保留 https://www.notion.so/335dcdaafb2a8160a466f550ab456a31","https://www.notion.so/33cdcdaafb2a813d85aee85946e54c7e"
"日升牙體技術所","archive","@嘉義縣中埔鄉 建檔2026-04-02｜保留 https://www.notion.so/335dcdaafb2a811b9d37cf4c26154b0e","https://www.notion.so/336dcdaafb2a81be972dc97ac42b5f51"
"良品牙體技術所","archive","@新北市樹林區 建檔2026-04-02｜保留 https://www.notion.so/336dcdaafb2a81f784dbdae91224e785","https://www.notion.so/336dcdaafb2a819cb73ce8d7b601c02d"
"盛光牙體技術所","archive","@臺北市松山區 建檔2026-04-02｜保留 https://www.notion.so/336dcdaafb2a81d0a591c7584ee9bdbd","https://www.notion.so/336dcdaafb2a813e87c7ca26a0739a03"
"盛光牙體技術所","archive","@臺北市松山區 建檔2026-04-02｜保留 https://www.notion.so/336dcdaafb2a81d0a591c7584ee9bdbd","https://www.notion.so/336dcdaafb2a81279dfad8ad3020f2bd"
