日期,業務,客戶,客戶反應,拜訪內容,建檔時間,PageID
"2026-09-08","Amy","明昌牙體技術所","","遞送中秋禮盒，分享近期課程資訊，介紹LUNAR外染和LUNAR COMPO，介紹Ray和張技師認識，關心近期材料使用狀況","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8126-9fe5-ecbbfea3f788"
"2026-09-08","Amy","30","","10:40公司例行性會議
-總經理佈達全聯會及學會產業動態和中秋月餅禮盒發送資訊
-致廷分享上週末全聯會活動參與狀況及大會投票結果
-Aaron解說Dentbird設計軟體更新後介面和新功能
- 新進業務同仁Otis自我介紹
- Ted 介紹公司官網架構","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81a9-9c78-cf520ea322d5"
"2026-09-08","Hank","禾好牙醫診所","","推ASIGA 全口重建課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81b9-9dff-c35186106c15"
"2026-09-08","Hank","星穎牙醫診所","","推ASIGA 全口重建課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-815b-9a8c-c580d4be0cb4"
"2026-09-08","Hank","禾和牙體技術所","","送帳單 處理介面劑相關問題","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81ac-a104-df4d60e5d9e2"
"2026-09-08","Hank","鈦ㄧ牙體技術所","","送帳單 例行拜訪 推重口重建課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81ec-bd74-c9426cbe5f81"
"2026-09-08","Hank","峰皇牙體技術所","要求報價","技工桌介紹配件 報價 帶技師去已經安裝的客戶技所看實體技工桌 顏色配置","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81e5-92a5-d34a66d85ea9"
"2026-09-08","Hank","芯沐牙體技術所","","送貨雕刻刀 底網10包","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81ba-81b1-faf20aa92042"
"2026-09-08","Gus","文章牙體技術所","","半鑽換貨問題處理
-cobra寄回公司","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-812f-9957-d6589b414fad"
"2026-09-08","Gus","三暘牙體技術所","同意試用","lunar試用","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8134-86a2-eaab80b455a8"
"2026-09-08","Gus","品藝牙體技術所","","送帳單","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8148-9ed6-daf10abc5b30"
"2026-09-08","Gus","富康牙體技術所","","送帳單","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8199-83ef-ca98861bd47a"
"2026-09-08","Gus","小王子牙醫診所","同意試用","sorino demo 、黑豹試用","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-819a-83f1-c4544d841292"
"2026-09-08","Gus","立聖牙體技術所","","燒結爐維修","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-816a-85c1-d40a46d043c5"
"2026-09-08","Eason","鴻達牙體技術所","","初次拜訪.推黑豹","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8182-ae2a-d95905e38976"
"2026-09-08","Eason","詠順牙體技術所","","初次拜訪.推黑豹","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81f0-a906-f1cea0a282cb"
"2026-09-08","Eason","樂橙牙體技術所","","初次拜訪.推黑豹","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8147-a591-d2b69b9279eb"
"2026-09-08","Eason","漾潔牙醫診所","","送禮.例行關心.推廣課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81a7-9098-f2b6316dfa07"
"2026-09-08","Eason","冠橋牙體技術所","","送禮.例行關心.推廣課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8105-88b3-f1c0d684d844"
"2026-09-08","Eason","冠緯牙技所","","送禮.例行關心.耗材使用.推廣課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8187-b9b1-dab90c750681"
"2026-09-07","Eason","台北馬偕","要求報價","送禮。例行關心。課程推廣，技師回饋說沒有學分，上課興趣不大
智容(技師)將我們的禮盒拿給牙科醫師們，也說會對我們推廣會有很大的幫助
文杰(技師)推染劑給他，但現在是使用GC的，但也說跟鋯塊一樣，沒甚麼問題的話不太會改變更換
張醫師有說若有甚麼比較適合醫師的東西，都可以拿去作介紹，他也毀協助幫忙
靜宜(醫工)有再追口掃機資料，有回說本周會把大多資料拿去報價","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-810e-8626-fcdf962851e7"
"2026-09-07","Sam","新逹","","送貨。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8165-ad4a-ee6f0d5dc6b3"
"2026-09-07","Sam","盛景","","帳單。催促訂鋯塊。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8182-9160-dddc0013d9f0"
"2026-09-07","Sam","精品","","帳單。提醒星期六課程。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81e7-b705-f930e212605f"
"2026-09-07","Sam","雲起","","收款。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81f1-b8da-ce82fc7caee9"
"2026-09-07","Sam","技匠","","收款。提醒星期六課程。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81bb-9af2-d416f8a5f328"
"2026-09-07","Sam","碧新","","帳單，推薦比色機。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81f7-847b-c4c3e428aa1c"
"2026-09-07","Sam",".奇技","有興趣待確認","詢問Rosetta使用情況。考慮10盒價格。","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8119-94c3-f15f66c1959e"
"2026-09-07","Gus","顏氏牙體技術所","同意試用","提供Lunar compo、rosetta試用，後續追蹤反饋
光固化樹脂染劑使用松風的","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81a2-9af6-c6e1a798c91b"
"2026-09-07","Duncan","牙谷牙體","要求報價","列印機報價 跟老闆討論桌掃機需求規格及試用事宜
常用樹脂料確認 有提出如果買機器需要一併處理3ahape軟體導入問題","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8155-9356-cdb774dd4c08"
"2026-09-07","Duncan","元華牙體","要求報價","手機發燙確認 主機檢測
推打亮bur報價","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8112-97ba-d0982299b42b"
"2026-09-07","Duncan","惠人牙體","確認下單","鋯塊合約需要重簽 已達叫貨數量
跟技師討論課程需求及設計軟體導入技所問題
車機（M1)購買需求持續追蹤","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8173-888b-ca11904e4169"
"2026-09-07","Duncan","凱欣牙體","要求報價","鋯塊合約持續追蹤
收款
技所吸塵器馬達耗材更換 鑄造頭報價","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81a6-b810-ecf913cae329"
"2026-09-07","Duncan","羅氏美學","持觀望態度","推課程 跟技師討論課程內容
跟羅醫師聊新診所地點需求及探點時間","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-815c-8c80-ccc345abc4a4"
"2026-09-07","Amy","千廣牙體技術所","","遞送中秋禮盒，介紹Ray讓呂老闆和技師認識，參觀技所環境，說明技所目前使用的列印樹酯種類，持續與呂老闆推廣光固化機","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8132-8537-c095259103db"
"2026-09-07","Amy","日顏美牙體技術所","確認下單","遞送中秋禮盒，關心Rosetta玻璃陶瓷訂購，近期較忙碌，成品尚未燒結，不過有回饋Gencore車削品質很好，與佩璇和Sky討論這週六Dentbird AI 設計&比色、外染課程","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8127-bd54-e3873f2976c7"
"2026-09-07","Amy","天承牙體技術所","確認下單","遞送中秋禮盒，關心Rosetta玻璃陶瓷訂購，因貼片Case量不多，消化庫存中，協助訂購Prettau 3 鋯塊","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8158-a34e-c983df07d1c9"
"2026-09-07","Amy","澄臻牙醫","","遞送對帳單，與助理確認近期院長方便拜訪的時間，等院長月底回國後再約時間拜訪","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-818d-9a08-fd7ed79b4cf3"
"2026-09-07","Amy","川云牙醫","確認下單","遞送中秋禮盒，關心透明料槽訂購，與詹醫師分享公司近期舉辦課程、活動，產業動態，介紹Ray讓院長認識","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8176-bb5b-d545b5fd1b96"
"2026-09-07","Amy","禾川牙體技術所","確認下單","遞送中秋禮盒，關心Rosetta玻璃陶瓷訂購，考慮中","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81d2-8dff-c40c47198686"
"2026-09-07","Amy","双橡園牙醫","","遞送中秋禮盒，介紹Rosetta玻璃陶瓷，院長回覆以技師上手為主，已和技師介紹","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81e7-8303-e9bf103b4ca8"
"2026-09-07","Amy","寬庭牙醫","同意試用","拜訪技師長，提供Booster Liquid試用，轉達鋯塊到貨時間，遞送中秋禮盒","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-819f-aafb-c2351fbdb76d"
"2026-09-07","Amy","寬澄牙醫","","遞送Model 樹酯 ，與新進技師認識","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8183-af71-f8a6e8370e49"
"2026-09-07","Hank","海悅牙醫診所","要求報價","氧化鋁噴砂機報價","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-814b-b590-ee2664e9340b"
"2026-09-07","Hank","芯沐牙體技術所","要求報價","黑無刷手機 報價 雕刻刀報價","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81d8-9687-c255269ab85f"
"2026-09-07","Hank","峰皇牙醫診所","要求報價","技工桌報價 資料參考整理","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81af-82f2-e29f9bd2533a"
"2026-09-07","Hank","宜合牙體技術所","","維修後吸塵器送回 送鋯塊 中秋禮盒","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81b3-9c67-fcc05374a019"
"2026-09-07","Hank","慈濟新店","","車機採購案資料修改","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-812a-9269-d6b6d6336c51"
"2026-09-07","Hank","健新牙體技術所","","送掃描蠟 更換發票","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8113-8ff1-ed4c034d6ec4"
"2026-09-07","Gus","鼎田牙體技術所","","送帳單","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-818e-9c69-f4bab83c52b1"
"2026-09-07","Gus","晶璽牙體技術所","同意試用","Lunar試用","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81ce-b182-ef77c582764b"
"2026-09-07","Gus","富康牙體技術所","","送帳單","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8110-8e19-c048106c47e2"
"2026-09-07","Gus","品藝牙體技術所","","送帳單","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-810e-963f-edbc5f64f0b9"
"2026-09-07","Gus","致臻牙體技術所","","Dentbird教學","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8144-9eef-cbe8c1889393"
"2026-09-07","Gus","謙禾牙醫診所","","收款、exocad教學","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8183-89eb-e9527b83bc37"
"2026-09-07","Gus","采風牙醫診所","同意試用","送帳單、lunar試用","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8129-987c-f2a67eebaecb"
"2026-09-07","Eason","新高美牙技所","","送禮.例行關心.課程推廣","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-8189-be88-c87df09fb246"
"2026-09-07","Eason","杏安牙體技術所","","送禮.例行關心.課程推廣","2026-09-09T04:29:00.000Z","3d6dcdaa-fb2a-81c8-93a0-c1b04532a1d1"
"2026-09-07","Eason","爵世牙醫診所","","送禮.例行關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8190-b56f-da1575a3d280"
"2026-09-07","Eason","達爾文牙體技術所","","送貨.送禮.例行關心.告知列印料價格","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-815b-90b0-d556e3165a6b"
"2026-09-07","Eason","鼎新牙體技術所","","送禮.例行關心.推廣課程","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81af-84c8-fdf8153579bb"
"2026-09-07","Eason","元利牙體技術所","","送貨.送禮.例行關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8168-8ec8-dee296c9ae4e"
"2026-09-07","Eason","漢鼎牙技所","","送貨.例行關心.耗材使用","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81e9-83cc-dc8c0c3a9922"
"2026-09-04","Duncan","佶慶牙體","確認下單","幫老闆確認需要下訂樹脂牙
手機有在思考需要購買2～3台備用機
持續關心手機使用狀況
確認明天劉醫師與李勃課程之課程準備","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8103-a9a7-efd8a993e386"
"2026-09-04","Gus","敬智牙體技術所","同意試用","有在找3d色內染，詢問有無相關產品後回覆
推lunar外染，技所量太大了，只有上釉而已，下次安排釉膏試用
關心Asiga 使用，一切正常，老闆也很滿意
推9-10月課程，老闆會在參考看看","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-818b-aeea-f9929027641f"
"2026-09-04","Gus","三暘牙體技術所","","關心Lunar外染使用狀況，師傅表示顆粒感明顯降低很多 想再試看看藍色及橘色
技師使用覺得ok就可以叫貨，不需再透過老闆決定","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f9-a1ba-ee0d2992f9ca"
"2026-09-04","Gus","明輝牙體技術所","","維修技工桌1張，已維修完畢","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f1-bc52-d30c86a48f98"
"2026-09-04","Sam","盛景","","洽談鋯塊合約。已簽。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81e2-b99c-c9c586ec6244"
"2026-09-04","Sam","曉燁","確認下單","推lunar。訂貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-816f-b671-d179afbfbb69"
"2026-09-04","Sam","精品","持觀望態度","送禮。lunar考慮中。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8184-8037-efaade1babe9"
"2026-09-04","Sam","雲啓","","送貨。約下星期收款。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8101-b8fe-c3c067dbe2f4"
"2026-09-04","Sam","技匠","","送禮，推薦lunar，是否購入。Rosetta使用良好。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8193-9e50-c43e9dc91f57"
"2026-09-04","Sam","威登","","送禮。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-812b-8437-c94c146021c4"
"2026-09-04","Amy","生活牙醫","","遞送中秋禮盒，請櫃檯同仁下週協助轉交張醫師和Lulu","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81c6-8c59-d17f9db68d27"
"2026-09-04","Amy","怡康牙體技術所","","遞送中秋禮盒，關心近況，介紹Rosetta玻璃陶瓷，老闆前幾年已經有使用過，效果滿意，推薦買1送1限定優惠方案","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-814e-be62-f56650141273"
"2026-09-04","Amy","米羅牙醫","","遞送中秋禮盒，關心院長10/18數位活動義齒課程報名，院長進行植牙手術中，介紹三位技師讓Ray認識，持續推薦Turbo快燒爐","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8197-a3a4-ee7a053a04c6"
"2026-09-04","Amy","技億牙體技術所","持觀望態度","遞送中秋禮盒，推薦LUNAR COMPO光固化樹酯染劑，介紹YAMAHACHI PMMA和WAX，回覆較艾迪特貴一些，考慮中","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-819f-845f-d69cb89b82e2"
"2026-09-04","Amy","聖潔牙醫","同意試用","關心SORINO試用意願，助理上週有將DM轉交院長，得知目前診所開立15年，院長主要配合高雄偉聖、彰化昱佑、中部宇禾、微笑林等Lab","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81d1-ac01-e816ccc2e19f"
"2026-09-04","Amy","德霖牙體技術所","同意試用","遞送Panther，關心Booster內染液和LUNAR外染劑試用狀況，因近期Case急件多，尚未有時間試用","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f9-9d48-feef4945013f"
"2026-09-04","Amy","品維美學牙醫","","遞送對帳單，分享9/12比色、外染課程資訊，介紹Ray和技師認識，瞭解技所使用的材料","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8106-9f26-d7af3f339f79"
"2026-09-04","Amy","磐石牙體技術所","確認下單","關心Booster內染液及LUNAR外染訂購，需等艾迪特庫存及原廠內染液使用完畢在訂購","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81db-ba2b-fbe7202e74e3"
"2026-09-04","Hank","新術牙體技術所","","推Rosetta 及Lunar","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8189-89f5-e064cd08baea"
"2026-09-04","Hank","微風數位牙體技術所","","推ASIGA Detax","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8128-a9ed-e8f27fb00a51"
"2026-09-04","Hank","新竹台大","","遞送中秋禮盒 關心ASIGA使用情況","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-817e-a769-e15955c0c24f"
"2026-09-04","Hank","水嶼牙醫診所","","送BSM Ultra鋯塊 Rosetta玻璃陶瓷 ZZ 染色液","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81a2-87fb-efc1e7d05225"
"2026-09-04","Hank","峰皇牙醫診所","要求報價","送ZZ電鍍機線材  Rosetta報價","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81b3-bb66-fd77fa6c3584"
"2026-09-04","Hank","芯沐牙體技術所","","送牙齒 蠟刀 推薦使用軟床材料及清潔粉","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8151-804d-ecdb547db6e6"
"2026-09-04","Duncan","羅氏美學","","送樹脂 確認lunar使用feedback 送高速手機","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8178-9715-dabb99803aff"
"2026-09-04","Duncan","盛霖牙體","","送帳單 確認技所需要耗材（bur/咬合器）型號","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-811a-90fa-ec91e1846559"
"2026-09-04","Duncan","沐沐牙醫","","送帳單 推課程","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-810a-9bf2-f7d8fe3099e9"
"2026-09-04","Duncan","凱欣牙體","","送禮 追鋯塊合約","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81ff-971a-fbdc045188a7"
"2026-09-04","Duncan","惠人牙體","","送禮 推課程","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8180-bbf0-e27b256c62d9"
"2026-09-04","Gus","瑪騰牙體技術所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-817a-b458-fd498a62ba70"
"2026-09-04","Gus","品藝牙體技術所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8115-b8aa-d19cef15d3ef"
"2026-09-04","Gus","大象牙醫診所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81da-8527-ebb2cda37ad0"
"2026-09-04","Gus","立新牙體技術所","同意試用","rosetta試用關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-815e-86a1-ef5817c3a5e1"
"2026-09-04","Gus","仿森牙體技術所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-812f-8ac7-c002e87bcf97"
"2026-09-04","Gus","康升牙體技術所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f9-95ba-d9a6bb3d6fa9"
"2026-09-04","Gus","永馨牙醫診所","","送帳單","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-811a-bb84-d2bdf7f3ba3d"
"2026-09-03","Gus","福家牙體技術所","","關心lunar compo使用狀況，一切正常
技師想了解咬合器相關配件，已提供相關資訊","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8181-924f-f8ac038fc856"
"2026-09-03","Sam","浩新","","送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-813e-be81-d2cfd2f8ce38"
"2026-09-03","Sam","正一","","送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81fb-b773-c4d7acbbb575"
"2026-09-03","Sam","奇琳","","送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81ce-a40c-ccc097e05fa0"
"2026-09-03","Sam","佳美","","送禮。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-811d-9eda-d2c345b71327"
"2026-09-03","Sam","昶勝","","收款。送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8136-9e29-d1d5d90e253a"
"2026-09-03","Sam","維思登牙醫","","送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81c1-9ee2-c64412554d3c"
"2026-09-03","Sam","大安","","送貨。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f8-9216-f0d75ef88ffa"
"2026-09-03","Sam","京鼎牙醫","","送禮，推薦課程。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8107-8601-d9e29bfae497"
"2026-09-03","Sam","百亨","","送貨，收款。送禮。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81ad-b64f-d75cd5b6fdf0"
"2026-09-03","Sam","喬登","","送貨。送禮。","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8112-8268-c5db9ca59086"
"2026-09-03","Amy","澄臻牙醫","","關心技師下週六課程報名，院長和技師在看診，下週再約時間拜訪，介紹Ray讓兩位資深助理認識","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8193-ae7e-f03106adf195"
"2026-09-03","Amy","川云牙醫","","遞送對帳單，關心技師近期列印機和材料使用狀況，預計近期會開始列印手術導板和維持器，收回轉交Aaron的料槽","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8100-ac33-c6245e8e99df"
"2026-09-03","Amy","品晶牙體技術所","","遞送對帳單，關心LUNAR外染劑使用狀況，介紹技師長讓Ray認識，關心FC-30使用狀況，一切良好","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8140-a449-f20f9087be3d"
"2026-09-03","Amy","錦鎰牙體技術所","","請款，老闆面試中，擇日再關心LUNAR外染劑使用狀況和介紹Rosetta玻璃陶瓷","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f6-a108-eb70e395b554"
"2026-09-03","Amy","日出牙體技術所","","遞送黑色無刷馬達、原廠鋯塊，分享9/12比色、外染課程資訊","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81dc-87d0-e053338ff7d9"
"2026-09-03","Amy","全欣美牙體技術所","","遞送對帳單，介紹Ray與黃老闆和技師認識，瞭解技所環境及目前使用設備、材料，兩台Komax使用皆良好","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8154-a711-d25fb5a346d3"
"2026-09-03","Amy","天承牙體技術所","","遞送對帳單，技師外出比色，與陳老闆打招呼介紹Ray認識","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-815a-a035-f3ce16830b63"
"2026-09-03","Amy","真愛美學牙醫","","寬庭體系總部，遞送對帳單，介紹Sorino集塵系統","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81c8-85e4-f586457f8212"
"2026-09-03","Amy","心和牙醫","","介紹Komax 集塵系統，推廣Zirkonzahn 品牌，與鄭醫師分享10/18數位活動義齒課程","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f9-8649-cba389e81418"
"2026-09-03","Amy","愛生牙醫","","關心Sorino集塵系統Demo意願，推廣Zirkonzahn 品牌，分享課程資訊","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81c1-86a3-f7eda7f52b52"
"2026-09-03","Eason","登特萊牙體技術所","","例行關心.耗材和課程推廣","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-818f-9db2-c3eb53cb3203"
"2026-09-03","Eason","禾玥牙醫診所","同意試用","送禮.例行關心.拿回試用染劑.列印機關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81f4-a606-f2425ab7a4fe"
"2026-09-03","Eason","九大牙體技術所","","換機(列印機介紹)","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81bc-89b3-cabe2d325f50"
"2026-09-03","Eason","巧藝牙體技術所","","送禮.例行關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81b1-92e1-d5ddaae94ca4"
"2026-09-03","Eason","杏安牙體技術所","","送禮.例行關心","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8188-9981-e8785eddbd83"
"2026-09-03","Eason","登鴻牙體技術所","確認下單","送貨。現在都是員工在用，覺得好用就自己花錢購買
例行關心。也說之後有新東西都可以介紹","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-8147-b783-f1b166fd3019"
"2026-09-03","Eason","日升牙體技術所","","例行關心。材料都是和材料商叫，原因我們比較貴
推廣課程，有回覆兩天暫時沒時間參加，也說往後有課程都可以提供","2026-09-09T04:28:00.000Z","3d6dcdaa-fb2a-81b5-b10f-e7a027bffd7c"
