csv_row,excel_name,updated_address,decision,score,name_score,address_score,notion_name,notion_address,notion_city,notion_district,second_name,second_score
"60","協和牙體技術所","新竹市北區延平路1段23巷7號","skip","0.636","0.500","0.550","和美牙體技術所","新竹市延平路1段261巷18弄14號","新竹市","","禾和牙體技術所","0.420"
"61","立新牙體技術所","新竹市北區延平路1段317巷83弄11號","skip","0.460","0.500","0.000","新研齒模工作室","新竹市宮口街28巷2弄1號","新竹市","","鼎立牙體技術所","0.460"
"62","牙德齒模技工所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","safe","1.120","1.000","1.000","牙德牙體技術所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","新竹縣","新埔鎮","樹德牙醫診所","0.420"
"63","正典技工所","桃園市平鎮區建明路1段269巷2弄2號","safe","1.120","1.000","1.000","正典牙體技術所","桃園市平鎮區建明路1段269巷2弄2號","桃園市","平鎮區","正鈺牙體技術所","0.460"
"65","曜澄技工所","桃園市中壢區龍岡路三段243巷73弄1號","safe","1.120","1.000","1.000","曜澄牙體技術所","桃園市中壢區龍岡路三段243巷73弄1號","桃園市","中壢區","澄品牙醫診所","0.460"
"66","名揚技工所(陳貴宗先生)","桃園市平鎮區福林里5鄰39號","safe","0.814","0.550","1.000","名揚牙體技術所","桃園市平鎮區福林里5鄰39號","桃園市","平鎮區","陳玉雲先生","0.584"
"67","捷安技工所(傅穗舟先生)","桃園市平鎮區東豐路528巷1弄12號","safe","0.814","0.550","1.000","捷安牙體技術所","桃園市平鎮區東豐路528巷1弄12號","桃園市","平鎮區","陳玉雲先生","0.414"
"68","潔明牙醫診所","桃園市平鎮區和平路33號","safe","1.120","1.000","1.000","潔明牙醫診所","桃園市平鎮區和平路33號","桃園市","平鎮區","潔明牙體技術所","0.800"
"69","仁和牙科技工所","桃園市觀音區崙坪里忠愛路3段230號","safe","0.882","0.650","1.000","仁和牙科牙體技術所","桃園市觀音區崙坪里忠愛路3段230號","桃園市","觀音區","佳仁牙體技術所","0.460"
"70","鴻興牙體技術所","桃園市觀音區中正路293巷2號","skip","0.420","0.500","0.000","鴻元牙體技術所","桃園市桃園區大業路2段252號","桃園市","桃園區","鴻海牙體技術所","0.420"
"71","大安技工所","桃園市桃園區泰山街47巷24號","safe","1.120","1.000","1.000","大安牙體技術所","桃園市桃園區泰山街47巷24號","桃園市","桃園區","大安牙醫診所","0.760"
"72","源昇技工所","桃園市桃園區昆明路138巷30號","safe","1.120","1.000","1.000","源昇牙體技術所","桃園市桃園區昆明路138巷30號","桃園市","桃園區","源美牙醫診所","0.460"
"73","精美技工所","桃園市桃園區永安北路445巷1號","skip","0.636","0.500","0.550","臻美牙醫診所","桃園市桃園區永安北路398號一樓之3","桃園市","桃園區","精綻美學牙醫診所","0.533"
"74","晟生技工所","桃園市龜山區明興街114巷13弄2號1樓","review","0.760","1.000","0.000","晟生牙體技術所","桃園市桃園區江南10街6巷7號2樓","桃園市","桃園區","口生牙醫診所","0.460"
"75","民富技工所","桃園市桃園區民富二街68號7樓","safe","1.120","1.000","1.000","民富牙體技術所","桃園市桃園區民富二街68號7樓","桃園市","桃園區","惠民牙體技術所","0.460"
"76","保時潔技工所","桃園市桃園區德壽二街3號","safe","0.800","1.000","0.000","保時潔牙體技術所","桃園市桃園區玉山街235巷26號1-2樓","桃園市","桃園區","陳玉雲先生","0.414"
"77","禾康技工所","桃園市桃園區同安街406號7F","safe","0.976","1.000","0.550","禾康牙體技術所","桃園市桃園區同安街406號7樓","桃園市","桃園區","禾康牙醫診所","0.800"
"78","林仲豪先生","桃園市桃園區大業路2段252號","skip","0.440","0.000","1.000","鴻元牙體技術所","桃園市桃園區大業路2段252號","桃園市","桃園區","陳玉雲先生","0.414"
"79","風采矯正牙醫診所","桃園市桃園區中山路888號","skip","0.460","0.500","0.000","風采美學牙醫診所","桃園市桃園區中正路888號1樓、2樓及890號2樓","桃園市","桃園區","陳玉雲先生","0.414"
"80","優耐特牙體技術所","桃園市桃園區中山路1000號3樓之2","skip","0.414","0.000","0.920","陳玉雲先生","桃園市","桃園市","","優利牙醫診所","0.392"
"81","京鼎牙醫診所(瑞安)","桃園市桃園區新埔六街87號","skip","0.562","0.650","0.000","京鼎牙醫診所","桃園市桃園區同安里新埔6街87號1樓、2樓","桃園市","桃園區","陳玉雲先生","0.414"
"82","樂亞牙體技術所","桃園市桃園區正光路423號12F之3","review","0.738","0.650","0.550","樂亞數位牙體技術所","桃園市桃園區正光路423之3號12樓","桃園市","桃園區","雲樂牙體技術所","0.460"
"83","銓鈦牙醫診所","桃園市桃園區春日路860號1樓","skip","0.460","0.500","0.000","銓泰牙體技術所","桃園市桃園區玉山街212巷14弄12號1樓","桃園市","桃園區","健銓牙醫診所","0.460"
"85","永泰技工所","桃園市八德區永安街13巷14號","safe","1.120","1.000","1.000","永泰牙體技術所","桃園市八德區永安街13巷14號","桃園市","八德區","永泰牙醫診所","0.760"
"86","精湛技工所","桃園市八德區中興街36-1號2F","safe","1.120","1.000","1.000","精湛牙體技術所","桃園市八德區中興街36-1號2F","桃園市","八德區","精工牙體技術所","0.460"
"87","鴻海技工所(陳介智先生)","桃園市大溪區文化路129巷21號","safe","0.814","0.550","1.000","鴻海牙體技術所","桃園市大溪區文化路129巷21號","桃園市","大溪區","陳玉雲先生","0.584"
"88","宏霖技工所(宏昇)","桃園市蘆竹區新興街344巷63弄10號","safe","0.882","0.650","1.000","宏霖牙體技術所","桃園市蘆竹區新興街344巷63弄10號","桃園市","蘆竹區","陳玉雲先生","0.414"
