code,name,city,district,tech,trainee,head,phone,address,sp,url
"2Y31110111","永信牙體技術所","新北市","汐止區","1","0","1","26607133","新北市汐止區橫科路52巷1號3樓","Hank","https://app.notion.com/p/335dcdaafb2a81eba2b1cb0621bf027f"
"2Y12010141","傑作數位牙體技術所","新竹市","東區","1","0","1","03-5293151","新竹市東區草湖街180號1樓","Hank","https://app.notion.com/p/335dcdaafb2a81f2ad9febc1df7e0b2b"
"2Y32080229","凡登數位牙體技術所","桃園市","八德區","1","0","1","0973271124","桃園市八德區介壽路一段1033號11樓","Amy","https://app.notion.com/p/335dcdaafb2a8128ab1cca9898a531b9"
"2Y11050025","宏承牙體技術所","基隆市","中山區","0","1","1","(02)24370215","基隆市中山區中和路85巷5弄11號(4F)","Hank","https://app.notion.com/p/335dcdaafb2a81e6a342f171a17ec77c"
"2Y01010091","元榮牙體技術所","台北市","松山區","0","1","1","27629950","臺北市松山區寶清街10之5號","Edward","https://app.notion.com/p/335dcdaafb2a81789b3ae846ead95c05"
"2Y01110130","三和牙體技術所","台北市","內湖區","0","1","1","26314283","臺北市內湖區康寧路三段189巷147號","Hank","https://app.notion.com/p/335dcdaafb2a8188b6a9d90fcf8cadb1"
"2Y31050138","新春牙體技術所","新北市","新店區","0","1","1","02 22155896","新北市新店區玫瑰路66巷5號1樓","Hank","https://app.notion.com/p/335dcdaafb2a8167b08cd53c21fba18c"
"2Y12010098","微風牙體技術所","新竹市","東區","1","0","1","0910398036","新竹市東區下竹里南大路218巷16弄37號2樓","Hank","https://app.notion.com/p/335dcdaafb2a81ca853dd08b71c41cfb"
"2Y32100048","信成牙體技術所","桃園市","平鎮","0","1","1","03-4696540","桃園市平鎮區湧光路292巷3號2樓","Sam","https://app.notion.com/p/335dcdaafb2a8143b411f97272967dc4"
"2Y12010070","喬恩牙體技術所","新竹市","東區","0","1","1","03-5955080","新竹市東區仙水里光復路一段531巷72之2號1樓","Sam","https://app.notion.com/p/335dcdaafb2a814296bec50d3fbd529d"
"2Y31140306","和安牙體技術所","新北市","蘆洲區","0","1","1","0979286726","新北市蘆洲區中山一路61巷28號2樓","Edward","https://app.notion.com/p/335dcdaafb2a813eaadbe0dc014a8d6e"
"2Y34010083","嘉鈺牙體技術所","宜蘭縣","宜蘭市","0","1","1","03-9357323","宜蘭縣宜蘭市泰山路民族二巷12-2號","Paul","https://app.notion.com/p/335dcdaafb2a817a9b63fb2ad50d0b3a"
"2Y12010132","亞方舟牙體技術所","新竹市","東區","0","1","1","03-5353710","新竹市東區食品路461巷11號1樓","Hank","https://app.notion.com/p/335dcdaafb2a81d0acacea3bed864772"
"2Y34010145","長安牙體技術所","宜蘭縣","宜蘭市","1","0","1","03-9357054","宜蘭縣宜蘭市東後街40號1樓","Paul","https://app.notion.com/p/335dcdaafb2a81eab043f787a6017c6b"
"2Y01190021","鑽石牙體技術所","台北市","萬華區","1","0","1","02-23083278","臺北市萬華區和平西路三段294號2樓","Hank","https://app.notion.com/p/335dcdaafb2a818e9b99d6e1d008013f"
"2Y12040087","永旭牙體技術所","新竹市","北區","0","1","1","0937347732","新竹市北區文雅里竹光路78巷11弄2號1樓","Sam","https://app.notion.com/p/335dcdaafb2a81769c5bdfb99533f262"
"2Y31060250","柏創數位牙體技術所","新北市","新莊區","0","1","1","22776271","新北市新莊區思源路50號1樓","Eason","https://app.notion.com/p/335dcdaafb2a81ed97b2f30d3cac6dc5"
"2Y34070016","順益牙體技術所","宜蘭縣","員山鄉","0","1","1","03-9223809","宜蘭縣員山鄉員山路1段234號","Paul","https://app.notion.com/p/335dcdaafb2a8185b1ffea946c0cec3e"
"2Y31140253","全美牙體技術所","新北市","蘆洲區","0","1","1","0916466076","新北市蘆洲區民族路298巷7號1樓","Eason","https://app.notion.com/p/335dcdaafb2a810caddbea124c0446da"
"2Y01200059","晶鑽牙體技術所","台北市","文山區","0","1","1","0989197864","臺北市文山區興隆路三段5號3樓","Hank","https://app.notion.com/p/335dcdaafb2a81c48d6ee62c62a0839e"
"2Y01110167","醫點牙體技術所","台北市","內湖區","0","1","1","26583322","臺北市內湖區瑞光路478巷18弄32號","Hank","https://app.notion.com/p/335dcdaafb2a811a99ebd9162d5a719b"
"2Y31010545","麥芽堂牙體技術所","新北市","板橋區","1","0","1","02-29558551","新北市板橋區三民路二段正泰二巷2號5樓","Paul","https://app.notion.com/p/335dcdaafb2a81aeb9c9ffab915bba4c"
"2Y01190101","釉質牙體技術所","台北市","萬華區","1","0","1","0989-721730","臺北市萬華區漢口街二段73號11-5","Paul","https://app.notion.com/p/335dcdaafb2a81eeb719dcca6c795a75"
"2Y31100017","榮興牙體技術所","新北市","淡水區","0","1","1","02-86311220","新北市淡水區北新路72號2樓","Sam","https://app.notion.com/p/335dcdaafb2a81c1b9efca80e5b7ebda"
"2Y01110158","恆陞牙體技術所","台北市","內湖區","1","0","1","0970135522","臺北市內湖區麗山街393巷3號2樓","Hank","https://app.notion.com/p/335dcdaafb2a81b6895fd8db27b99e4d"
"2Y34100019","維盟牙體技術所","宜蘭縣","三星鄉","1","0","1","03-9550305","宜蘭縣三星鄉上將路2段320號","Paul","https://app.notion.com/p/335dcdaafb2a81c7b838d82eab1e21ff"
"2Y31040070","順豐牙體技術所","新北市","中和區","0","1","1","0229598617","新北市中和區國光街１６９巷１７號１樓","Paul","https://app.notion.com/p/335dcdaafb2a81a08a6ad350ea7522c2"
"2Y32010389","良鑫牙體技術所","桃園市","桃園區","0","1","1","03-3663104","桃園市桃園區建國路123巷8號1樓","Sam","https://app.notion.com/p/335dcdaafb2a8111a8f0c199243329ff"
"2Y01110112","德合牙體技術所","台北市","內湖區","0","1","1","27926849","臺北市內湖區南京東路6段322號","Hank","https://app.notion.com/p/335dcdaafb2a81f5bfbed88218b6ed6c"
"2Y31030172","合榆牙體技術所","新北市","永和區","0","1","1","02-2929-0778","新北市永和區保平路236巷7弄10號1樓","Paul","https://app.notion.com/p/335dcdaafb2a81e7b536e899cce3e06e"
"2Y32070027","建成牙體技術所","桃園市","龜山區","0","1","1","03-3297874","桃園市龜山區中和南路31號1樓","Paul","https://app.notion.com/p/335dcdaafb2a81d5bd91e2c2fcffcb8f"
"2Y31040347","晶達牙體技術所","新北市","中和區","1","0","1","0229588465","新北市中和區國光街102巷42號1樓","Sam","https://app.notion.com/p/335dcdaafb2a815a86fbd4a4478eba26"
"2Y32010101","禾康牙體技術所","桃園市","桃園區","0","1","1","03-3586667","桃園市桃園區同安街406號7F","Sam","https://app.notion.com/p/335dcdaafb2a81a8a0efffe1f4dfd012"
"2Y31050183","鑫鎂牙體技術所","新北市","新店區","0","1","1","02 86663301","新北市新店區安民街379巷5號1樓","Hank","https://app.notion.com/p/335dcdaafb2a8139948ec81fa2248f03"
"2Y34010065","詠美牙體技術所","宜蘭縣","宜蘭市","0","1","1","03-9306496","宜蘭縣宜蘭市大福路1段93號","Paul","https://app.notion.com/p/335dcdaafb2a81f0adcae552e0420fea"
"2Y31040285","歐登牙體技術所","新北市","中和區","1","0","1","0222261770","新北市中和區中山路2段351號5樓之13","Paul","https://app.notion.com/p/335dcdaafb2a81a5b838f298f8233b9f"
"2Y01190085","尚美牙體技術所","台北市","萬華區","0","1","1","02-23311596.0955478287","臺北市萬華區柳州街47號5樓","Hank","https://app.notion.com/p/335dcdaafb2a81c0a64ecc900bb72869"
"2Y31020470","朝陽牙體技術所","新北市","三重區","0","1","1","(02)2985-7999","新北市三重區仁義街241巷4號1樓","Paul","https://app.notion.com/p/335dcdaafb2a815c90bac30d75fdf28a"
"2Y01160014","新生牙體技術所","台北市","北投區","0","1","1","0932256809","臺北市北投區尊賢街218巷23弄10號5樓","Paul","https://app.notion.com/p/335dcdaafb2a810da980c20d7304bc21"
"2Y01200077","尚豐牙體技術所","台北市","文山區","0","1","1","0910151088","臺北市文山區興德路6巷6號","Hank","https://app.notion.com/p/335dcdaafb2a815ea9dbdfdf91833fa5"
"2Y31010241","育全牙體技術所","新北市","板橋區","0","1","1","02-22301888","新北市板橋區僑中二街48巷3號1樓","Sam","https://app.notion.com/p/335dcdaafb2a81b8a8b0cfea7f5a6d0c"
"2Y32080078","江山牙體技術所","桃園市","八德區","0","1","1","03-3650920","桃園市八德區榮興路846巷1弄10號2樓","Amy","https://app.notion.com/p/335dcdaafb2a8113913be098acfa7f11"
"2Y31110148","世宇數位牙體技術所","新北市","汐止區","1","0","1","26488267","新北市汐止區樟樹一路145巷14號1樓","Hank","https://app.notion.com/p/335dcdaafb2a81778de6e24d89e3955c"
"2Y31110013","奕家牙體技術所","新北市","汐止區","0","1","1","02-86915568","新北市汐止區伯爵街39巷32號1樓","Hank","https://app.notion.com/p/335dcdaafb2a810ea336c505bafd050e"
"2Y31020345","原聖牙體技術所","新北市","三重區","0","1","1","(02)2585-8756","新北市三重區忠孝路三段15巷16弄10號5樓","Sam","https://app.notion.com/p/335dcdaafb2a8129b0c4ef89f44401b8"
"2Y01190076","棋銓牙體技術所","台北市","萬華區","0","1","1","23024353","臺北市萬華區南寧路56號","Hank","https://app.notion.com/p/335dcdaafb2a81838a67fddf0a51d1e8"
"2Y12040103","非凡牙體技術所","新竹市","北區","0","1","1","0911604547","新竹市北區東大路二段198號3樓","Sam","https://app.notion.com/p/335dcdaafb2a8127aeeeede85c9a684a"
"2Y01020248","双盛牙體技術所","台北市","大安區","1","0","1","0981981798","臺北市大安區復興南路1段342號3樓之6","Duncan","https://app.notion.com/p/335dcdaafb2a81748401f1b2bd2c9e64"
"2Y33020030","新冠牙體技術所","新竹縣","新埔鎮","1","0","1","0977454335","新竹縣新埔鎮中正路535號2樓","Hank","https://app.notion.com/p/335dcdaafb2a81bc8292c2f0f1832123"
"2Y31060116","冠宇牙體技術所","新北市","新莊區","0","1","1","29942557","新北市新莊區中華路一段63巷28號5樓","Edward","https://app.notion.com/p/335dcdaafb2a8165bd56ed65e2d5686a"
"2Y31130168","麥田牙體技術所","新北市","土城區","1","0","1","02-22701185","新北市土城區中央路一段45巷2弄11號4樓(5層)","Paul","https://app.notion.com/p/335dcdaafb2a81b18fb0d5f0a1aca82d"
"2Y32010361","昶勝牙體技術所","桃園市","桃園區","0","1","1","03-3758087","桃園市桃園區大明街55號1樓","Sam","https://app.notion.com/p/335dcdaafb2a819a8f5ed6d7731509ca"
