csv_row,excel_name,csv_original_address,csv_updated_address,target_city,target_district,notion_name,notion_address,notion_city,notion_district,institution_code,customer_type,status,score,name_score,address_score,reason,suggested_action,page_id
"22","真承技工所","新北市新莊區西盛街344巷22弄12號6樓","新北市新莊區西盛街344巷22弄12號6樓","新北市","新莊區","真承牙體技術所","新北市新莊區西盛街344巷22弄12號6樓","新北市","新莊區","2Y31060438","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81d0-9b8d-e4c3b2cc9a76"
"24","永生技工所(胡先生)","臺北市中正區汀洲路3段27巷33號1樓","臺北市中正區汀洲路3段27巷33號1樓","臺北市","中正區","永生牙體技術所","臺北市中正區汀州路三段27巷33號","臺北市","中正區","2Y01180034","牙體技術所","開業","0.735","0.817","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81ab-baa4-c8ac16b3add7"
"25","喜樂牙醫診所","臺北市中正區新生南路一段50-1號2樓","臺北市中正區新生南路一段50-1號2樓","臺北市","中正區","喜樂新生牙醫診所","臺北市中正區新生南路1段50之1號2樓、50之2號2樓","臺北市","中正區","3701184048","牙醫診所","開業","0.798","0.650","0.550","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81a4-8924-d22cd80ea512"
"26","年展技工所","臺北市文山區羅斯福路6段182號2樓","臺北市文山區羅斯福路6段182號2樓","臺北市","文山區","年展牙體技術所","臺北市文山區羅斯福路6段182號2樓","臺北市","文山區","2Y01200086","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-810c-9b51-f046007e1c28"
"27","立新牙體技術所","臺北市文山區久康街95號1樓","臺北市文山區久康街95號1樓","臺北市","文山區","立新牙體技術所","臺北市文山區久康街95號1樓","臺北市","文山區","","牙體技術所","開業","1.120","1.000","1.000","高相似度單一候選","review_then_import","348dcdaa-fb2a-80ea-a759-ec50b88a7cb0"
"29","尚豐技工所","新北市新店區安康路3段和成街15巷2號1樓","新北市新店區安康路3段和成街15巷2號1樓","新北市","新店區","尚豐牙體技術所","新北市新店區安康路3段和成街15巷2號1樓","新北市","新店區","2Y31050058","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-815a-bc0a-f6bb31587a0e"
"36","海蒂牙醫診所","臺北市士林區中山北路五段641號","臺北市士林區中山北路五段641號","臺北市","士林區","海蒂牙醫診所","臺北市士林區中山北路五段641號","臺北市","士林區","3701157863","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8148-a11e-d508f9117e4b"
"37","高仕技工所","臺北市北投區石牌路1段33巷6弄1號2樓","臺北市北投區石牌路1段33巷6弄1號2樓","臺北市","北投區","高仕牙體技術所","臺北市北投區石牌路1段33巷6弄1號2樓","臺北市","北投區","2Y01160069","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8109-8113-c02e14512125"
"41","微笑牙體技術所","臺北市大同區延平北路二段43巷15-1號1樓","臺北市大同區延平北路二段43巷15-1號1樓","臺北市","大同區","微笑牙醫診所","臺北市內湖區康樂街２０巷１號２樓","臺北市","內湖區","3701110191","牙醫診所","開業","0.820","1.000","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81f5-97f2-e320506a7dff"
"42","康和牙醫診所","臺北市八德路3段241號","臺北市松山區八德路3段241號","臺北市","松山區","康和牙醫診所","臺北市松山區八德路3段241號","臺北市","松山區","3701013599","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81ea-b339-c316a0d55ba7"
"43","靜巷美學牙醫","臺北市松山區民權東路三段106巷36號","臺北市松山區民權東路三段106巷36號","臺北市","松山區","靜巷美學牙醫診所","臺北市松山區民權東路三段106巷36號","臺北市","松山區","3701014158","牙醫診所","開業","1.055","0.817","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81ad-bf68-d245a5e21a64"
"44","長青牙醫診所","臺北市大安區敦化南路2段88號","臺北市大安區敦化南路2段88號","臺北市","大安區","長青牙醫診所","臺北市大安區敦化南路2段88號","臺北市","大安區","3701022338","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-813c-8d32-dea97e4b72ea"
"45","東欣牙醫診所","臺北市北投區北投路二段17號","臺北市北投區北投路二段17號","臺北市","北投區","東欣牙醫診所","臺北市北投區北投路二段17號","臺北市","北投區","3701162293","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8109-aa8f-ce98b1932c8d"
"46","南雅牙醫診所","新北市板橋區南雅南路1段95號","新北市板橋區南雅南路1段95號","新北市","板橋區","南雅牙醫診所","新北市板橋區南雅南路1段95號","新北市","板橋區","3731013338","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8185-a3a9-e346bae6248e"
"47","尚好技工所-歇業","新北市板橋區文聖街76號3樓","新北市板橋區文聖街76號3樓","新北市","板橋區","上好牙體技術所","新北市板橋區文聖街76號3樓","新北市","板橋區","2Y31010376","牙體技術所","開業","0.840","0.500","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-819f-a915-da12ff7f5da9"
"48","精品技工所 (林先生)","新北市板橋區懷德街191巷29號1樓","新北市板橋區懷德街191巷29號1樓","新北市","板橋區","精品牙醫診所","新北市板橋區漢生東路293號1樓及2樓","新北市","板橋區","3731014880","牙醫診所","開業","0.735","0.817","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81a6-9bf2-d830d89b08f2"
"49","玉采技工所","新北市板橋區漢生西路163號1樓","新北市板橋區漢生西路163號1樓","新北市","板橋區","玉采牙體技術所","新北市板橋區漢生西路163號1樓","新北市","板橋區","2Y31010107","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8195-939a-f7feefade5ba"
"52","永明技工所","新北市三重區自強路3段87巷14號","新北市三重區自強路3段87巷14號","新北市","三重區","永明牙體技術所","新北市三重區自強路3段87巷14號","新北市","三重區","2Y31020167","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81d2-908a-f92b7bcbe906"
"54","新錡技工所(曲先生)","新北市新莊區中原東路58號","新北市新莊區中原東路58號","新北市","新莊區","新錡牙體技術所","新北市新莊區中原路102號5樓","新北市","新莊區","2Y31060045","牙體技術所","開業","0.735","0.817","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-812b-85e1-cb4556f851df"
"56","上揚技工所","臺北市重慶北路3段278-2號3樓","臺北市大同區重慶北路3段278-2號3樓","臺北市","大同區","上揚牙體技術所","臺北市大同區重慶北路3段278-2號3樓","臺北市","大同區","2Y01090071","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81e1-b276-df391d320919"
"57","宏祥技工所","宜蘭縣員山鄉惠深一路41號","宜蘭縣員山鄉惠深一路41號","宜蘭縣","員山鄉","宏祥牙體技術所","宜蘭縣冬山鄉廣興路355巷11號1樓","宜蘭縣","冬山鄉","2Y34080012","牙體技術所","開業","0.820","1.000","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8152-93e6-c61f50376164"
"58","非凡技工所","新竹市東大路2段198號3樓","新竹市北區東大路2段198號3樓","新竹市","北區","非凡牙體技術所","新竹市北區東大路二段198號3樓","新竹市","北區","2Y12040103","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8127-aeee-ede85c9a684a"
"59","宏月技工所","新竹市東南街143巷52號","新竹市東區東南街143巷52號","新竹市","東區","宏月牙體技術所","新竹市東區東南街143巷52號","新竹市","東區","2Y12010089","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-812d-b223-d97a678b309f"
"62","牙德齒模技工所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","新竹縣新埔鎮田新里9鄰信義二街29巷5號","新竹縣","新埔鎮","牙德牙體技術所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","新竹縣","新埔鎮","2Y33020012","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8189-9b4c-f44c8ca0014d"
"63","正典技工所","桃園市平鎮區建明路1段269巷2弄2號","桃園市平鎮區建明路1段269巷2弄2號","桃園市","平鎮區","正典牙體技術所","桃園市平鎮區建明路1段269巷2弄2號","桃園市","平鎮區","2Y32100100","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81dd-9550-e838b854071d"
"65","曜澄技工所","桃園市中壢區龍岡路三段243巷73弄1號","桃園市中壢區龍岡路三段243巷73弄1號","桃園市","中壢區","曜澄牙體技術所","桃園市中壢區龍岡路三段243巷73弄1號","桃園市","中壢區","2Y32020303","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81f9-819d-df42252f375c"
"66","名揚技工所(陳貴宗先生)","桃園縣平鎮市福林里5鄰39號","桃園市平鎮區福林里5鄰39號","桃園市","平鎮區","名揚牙體技術所","桃園市平鎮區福林里5鄰39號","桃園市","平鎮區","","牙體技術所","","0.814","0.550","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-814f-9988-f7e04b44ef68"
"67","捷安技工所(傅穗舟先生)","桃園縣平鎮市東豐路528巷1弄12號","桃園市平鎮區東豐路528巷1弄12號","桃園市","平鎮區","捷安牙體技術所","桃園市平鎮區東豐路528巷1弄12號","桃園市","平鎮區","","牙體技術所","","0.814","0.550","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-81a7-8715-fc63d93d2173"
"68","潔明牙醫診所","桃園市平鎮區和平路33號","桃園市平鎮區和平路33號","桃園市","平鎮區","潔明牙醫診所","桃園市平鎮區和平路33號","桃園市","平鎮區","3732100072","牙醫診所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8155-a70a-c80af12e70ae"
"69","仁和牙科技工所","桃園縣觀音鄉崙坪村忠愛路3段230號","桃園市觀音區崙坪里忠愛路3段230號","桃園市","觀音區","仁和牙科牙體技術所","桃園市觀音區崙坪里忠愛路3段230號","桃園市","觀音區","","牙體技術所","","0.882","0.650","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-8191-8302-e1e8bcf6f513"
"71","大安技工所","桃園市泰山街47巷24號","桃園市桃園區泰山街47巷24號","桃園市","桃園區","大安牙體技術所","桃園市桃園區泰山街47巷24號","桃園市","桃園區","","","","1.120","1.000","1.000","高相似度單一候選","review_then_import","33cdcdaa-fb2a-815c-9b6d-cf6440c97e79"
"72","源昇技工所","桃園市昆明路138巷30號","桃園市桃園區昆明路138巷30號","桃園市","桃園區","源昇牙體技術所","桃園市桃園區昆明路138巷30號","桃園市","桃園區","2Y32010209","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-815d-96ac-cfd87fd781e6"
"73","精美技工所","桃園市永安北路445巷1號","桃園市桃園區永安北路445巷1號","桃園市","桃園區","臻美牙醫診所","桃園市桃園區永安北路398號一樓之3","桃園市","桃園區","3732011310","牙醫診所","開業","0.696","0.500","0.550","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81e0-9edb-d2fb0cae9390"
"74","晟生技工所","桃園市龜山區明興街114巷13弄2號1樓","桃園市龜山區明興街114巷13弄2號1樓","桃園市","龜山區","晟生牙體技術所","桃園市桃園區江南10街6巷7號2樓","桃園市","桃園區","2Y32010398","牙體技術所","開業","0.820","1.000","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8117-a785-fa2084a1e13c"
"75","民富技工所","桃園市民富二街68號7樓","桃園市桃園區民富二街68號7樓","桃園市","桃園區","民富牙體技術所","桃園市桃園區民富二街68號7樓","桃園市","桃園區","2Y32010129","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8189-bf0a-ccaba18074a6"
"76","保時潔技工所","桃園市德壽二街3號","桃園市桃園區德壽二街3號","桃園市","桃園區","保時潔牙體技術所","桃園市桃園區德壽二街3號","桃園市","桃園區","2Y32010147","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81d1-9467-e244903d7c3e"
"77","禾康技工所","桃園市同安街406號7F","桃園市桃園區同安街406號7F","桃園市","桃園區","禾康牙體技術所","桃園市桃園區同安街406號7F","桃園市","桃園區","2Y32010101","牙體技術所","開業","1.180","1.000","1.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-81a8-a0ef-ffe1f4dfd012"
"81","京鼎牙醫診所(瑞安)","桃園市桃園區新埔六街87號","桃園市桃園區新埔六街87號","桃園市","桃園區","京鼎牙醫診所","桃園市桃園區同安里新埔6街87號1樓、2樓","桃園市","桃園區","3732014179","牙醫診所","開業","0.622","0.650","0.000","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8128-a004-ea3ecf6ac464"
"82","樂亞牙體技術所","桃園市桃園區正光路423號12F之3","桃園市桃園區正光路423號12F之3","桃園市","桃園區","樂亞數位牙體技術所","桃園市桃園區正光路423之3號12樓","桃園市","桃園區","2Y32010496","牙體技術所","開業","0.798","0.650","0.550","有機構代碼且名稱/地址相似","review_then_import","335dcdaa-fb2a-8178-917e-f637bc32cefd"
"85","永泰技工所","八德市永安街13巷14號","桃園市八德區永安街13巷14號","桃園市","八德區","永泰牙體技術所","桃園市八德區永安街13巷14號","桃園市","八德區","","","","1.120","1.000","1.000","高相似度單一候選","review_then_import","33cdcdaa-fb2a-81b0-9e42-cbb4d120c68d"
"86","精湛技工所","八德市中興街36-1號2F","桃園市八德區中興街36-1號2F","桃園市","八德區","精湛牙體技術所","桃園市八德區中興街36-1號2F","桃園市","八德區","","牙體技術所","","1.120","1.000","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-8106-969d-ce41784dedde"
"87","鴻海技工所(陳介智先生)","桃園縣大溪鎮文化路129巷21號","桃園市大溪區文化路129巷21號","桃園市","大溪區","鴻海牙體技術所","桃園市大溪區文化路129巷21號","桃園市","大溪區","","牙體技術所","","0.814","0.550","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-81ed-8448-ec75a2465163"
"88","宏霖技工所(宏昇)","桃園縣蘆竹鄉新興街344巷63弄10號","桃園市蘆竹區新興街344巷63弄10號","桃園市","蘆竹區","宏霖牙體技術所","桃園市蘆竹區新興街344巷63弄10號","桃園市","蘆竹區","","牙體技術所","","0.882","0.650","1.000","高相似度單一候選","review_then_import","336dcdaa-fb2a-8131-90dc-db7c514cde40"
