csv_row,excel_name,csv_original_address,csv_updated_address,target_city,target_district,notion_name,notion_address,notion_city,notion_district,institution_code,customer_type,status,score,name_score,address_score,reason,suggested_action,page_id
"33","新術牙體技術所","新竹市科學園路162巷1弄29號","新竹市東區科學園路162巷1弄29號","新竹市","東區","關新牙醫診所","新竹市東區新莊里關新東路356號","新竹市","東區","3712012464","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=展新牙醫診所(0.520)","manual_review","335dcdaa-fb2a-81c3-8f56-d0d935de25ed"
"34","陳柏瑋先生","臺北市松山區健康路35巷14號8F","臺北市松山區健康路35巷14號8F","臺北市","松山區","陳小姐","臺北市大安路1段133號5樓","臺北市","","","","","0.449","0.483","0.000","相似度不足或候選不唯一；第二候選=柏青牙體技術所(0.412)","manual_review","336dcdaa-fb2a-816d-95bc-ee6a4d0a94b3"
"35","光興牙體技術所","臺北市士林區小北街42號","臺北市士林區小北街42號","臺北市","士林區","光和牙醫診所","臺北市士林區基河路２３８之３號１樓","臺北市","士林區","3701150328","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=光華牙醫診所(0.520)","manual_review","335dcdaa-fb2a-81c3-a852-d98d6ae319c1"
"38","惠生牙醫診所","臺北市北投區明德路123號1樓","臺北市北投區明德路123號1樓","臺北市","北投區","惠生牙醫聯合診所","臺北市北投區明德路一二一號二樓一二三號一、二樓","臺北市","北投區","3701160780","牙醫診所","開業","0.628","0.400","0.550","相似度不足或候選不唯一；第二候選=惠生鑲牙(0.522)","manual_review","335dcdaa-fb2a-816f-ab27-d3df986368f9"
"39","阮柏升","新北市林口區文化二路一段283號","新北市林口區文化二路一段283號","新北市","林口區","萊德美學牙醫診所","新北市林口區文化二路一段283號1.2樓","新北市","林口區","3731171344","牙醫診所","開業","0.474","0.000","0.920","相似度不足或候選不唯一；第二候選=耀升牙體技術所(0.412)","manual_review","335dcdaa-fb2a-81d0-b358-dae4b9d74800"
"40","志明牙醫診所","臺北市中正區寧波西街80號","臺北市中正區寧波西街80號","臺北市","中正區","明皓牙醫診所","臺北市中正區南昌路一段１２８號","臺北市","中正區","3701181083","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=中明牙科診所(0.520)","manual_review","335dcdaa-fb2a-81f2-8142-c9e6aa6b81bf"
"50","良德技工所","新北市板橋區中山路2段318巷20弄5號","新北市板橋區中山路2段318巷20弄5號","新北市","板橋區","德崴聯合牙醫診所","新北市板橋區中山路二段二二四號","新北市","板橋區","3731013776","牙醫診所","開業","0.583","0.333","0.550","相似度不足或候選不唯一；第二候選=中和德威牙醫診所(0.543)","manual_review","335dcdaa-fb2a-8106-99a6-d6c21f94bc45"
"51","寰宇牙醫診所","新北市板橋區南雅西路2段2號2樓","新北市板橋區南雅西路2段2號2樓","新北市","板橋區","泓宇牙體技術所","新北市板橋區長江路1段142之1號2樓","新北市","板橋區","2Y31010205","牙體技術所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=汎宇牙醫診所(0.520)","manual_review","335dcdaa-fb2a-814f-b301-f9516bef2d83"
"53","品嘉技工所(羅文全先生)","新北市汐止區秀山路54號","新北市汐止區秀山路54號","新北市","汐止區","品嘉牙體技術所","新北市汐止區長江街101之2號1樓","新北市","汐止區","2Y31110139","牙體技術所","開業","0.554","0.550","0.000","相似度不足或候選不唯一；第二候選=品嘉牙醫診所(0.514)","manual_review","335dcdaa-fb2a-814c-b3eb-d821f79e3416"
"55","許新發","新北市蘆洲區民生街50號4樓","新北市蘆洲區民生街50號4樓","新北市","蘆洲區","新發牙體技術所","新北市土城區學成路91巷14號4樓","新北市","土城區","","","","0.635","0.817","0.000","相似度不足或候選不唯一；第二候選=鼎新牙體技術所(0.452)","manual_review","33cdcdaa-fb2a-8107-8a87-f9080ef474d0"
"60","協和牙體技術所","新竹市延平路1段23巷7號","新竹市北區延平路1段23巷7號","新竹市","北區","和美牙體技術所","新竹市延平路1段261巷18弄14號","新竹市","","","牙體技術所","","0.636","0.500","0.550","相似度不足或候選不唯一；第二候選=禾和牙體技術所(0.480)","manual_review","336dcdaa-fb2a-81ac-9388-f6a80e049041"
"61","立新牙體技術所","新竹市延平路1段317巷83弄11號","新竹市北區延平路1段317巷83弄11號","新竹市","北區","新捷牙醫診所","新竹市北區水田街２１號","新竹市","北區","3712040011","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=新研牙體技術所(0.480)","manual_review","335dcdaa-fb2a-81c3-ab37-ecac51c25563"
"70","鴻興牙體技術所","桃園市觀音區中正路293巷2號","桃園市觀音區中正路293巷2號","桃園市","觀音區","興安牙醫診所","桃園市中壢區興安二街50號1樓","桃園市","中壢區","3732023516","牙醫診所","開業","0.480","0.500","0.000","相似度不足或候選不唯一；第二候選=長興牙醫診所(0.480)","manual_review","335dcdaa-fb2a-814d-8d63-f63dd5d692c8"
"78","林仲豪先生","桃園市大業路2段252號","桃園市桃園區大業路2段252號","桃園市","桃園區","鴻元牙體技術所","桃園市桃園區大業路2段252號","桃園市","桃園區","","牙體技術所","","0.440","0.000","1.000","相似度不足或候選不唯一；第二候選=陳玉雲先生(0.414)","manual_review","33cdcdaa-fb2a-8130-bbae-eee71e610999"
"79","風采矯正牙醫診所","桃園市中山路888號","桃園市桃園區中山路888號","桃園市","桃園區","風采美學牙醫診所","桃園市桃園區中正路888號1樓、2樓及890號2樓","桃園市","桃園區","3732014259","牙醫診所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=陳玉雲先生(0.414)","manual_review","335dcdaa-fb2a-813a-af4a-dc5971424e26"
"80","優耐特牙體技術所","桃園市桃園區中山路1000號3樓之2","桃園市桃園區中山路1000號3樓之2","桃園市","桃園區","優利牙醫診所","桃園市桃園區大有路356號1樓(含1樓夾層)","桃園市","桃園區","3732013261","牙醫診所","開業","0.452","0.400","0.000","相似度不足或候選不唯一；第二候選=優尚牙醫診所(0.452)","manual_review","335dcdaa-fb2a-81ee-8f5f-dfcad0133714"
"83","銓鈦牙醫診所","桃園市桃園區春日路860號1樓","桃園市桃園區春日路860號1樓","桃園市","桃園區","銓泰牙體技術所","桃園市桃園區玉山街212巷14弄12號1樓","桃園市","桃園區","2Y32010076","牙體技術所","開業","0.520","0.500","0.000","相似度不足或候選不唯一；第二候選=健銓牙醫診所(0.520)","manual_review","335dcdaa-fb2a-8183-a670-f49d7d2cbf51"
