csv_row,excel_name,notion_name,result,score,name_score,address_score,target_city,target_district,old_address,new_address
"70","鴻興牙體技術所","鴻元牙體技術所","skipped_review","0.420","0.500","0.000","桃園市","觀音區","桃園市桃園區大業路2段252號","桃園市觀音區中正路293巷2號"
"71","大安技工所","大安牙體技術所","already_current","1.120","1.000","1.000","桃園市","桃園區","桃園市桃園區泰山街47巷24號","桃園市桃園區泰山街47巷24號"
"72","源昇技工所","源昇牙體技術所","already_current","1.120","1.000","1.000","桃園市","桃園區","桃園市桃園區昆明路138巷30號","桃園市桃園區昆明路138巷30號"
"73","精美技工所","臻美牙醫診所","skipped_review","0.636","0.500","0.550","桃園市","桃園區","桃園市桃園區永安北路398號一樓之3","桃園市桃園區永安北路445巷1號"
"74","晟生技工所","晟生牙體技術所","skipped_review","0.760","1.000","0.000","桃園市","龜山區","桃園市桃園區江南10街6巷7號2樓","桃園市龜山區明興街114巷13弄2號1樓"
"75","民富技工所","民富牙體技術所","already_current","1.120","1.000","1.000","桃園市","桃園區","桃園市桃園區民富二街68號7樓","桃園市桃園區民富二街68號7樓"
"76","保時潔技工所","保時潔牙體技術所","updated","0.800","1.000","0.000","桃園市","桃園區","桃園市桃園區玉山街235巷26號1-2樓","桃園市桃園區德壽二街3號"
"77","禾康技工所","禾康牙體技術所","updated","0.976","1.000","0.550","桃園市","桃園區","桃園市桃園區同安街406號7樓","桃園市桃園區同安街406號7F"
"78","林仲豪先生","鴻元牙體技術所","skipped_review","0.440","0.000","1.000","桃園市","桃園區","桃園市桃園區大業路2段252號","桃園市桃園區大業路2段252號"
"79","風采矯正牙醫診所","風采美學牙醫診所","skipped_review","0.460","0.500","0.000","桃園市","桃園區","桃園市桃園區中正路888號1樓、2樓及890號2樓","桃園市桃園區中山路888號"
"80","優耐特牙體技術所","陳玉雲先生","skipped_review","0.414","0.000","0.920","桃園市","桃園區","桃園市","桃園市桃園區中山路1000號3樓之2"
"81","京鼎牙醫診所(瑞安)","京鼎牙醫診所","skipped_review","0.562","0.650","0.000","桃園市","桃園區","桃園市桃園區同安里新埔6街87號1樓、2樓","桃園市桃園區新埔六街87號"
"82","樂亞牙體技術所","樂亞數位牙體技術所","skipped_review","0.738","0.650","0.550","桃園市","桃園區","桃園市桃園區正光路423之3號12樓","桃園市桃園區正光路423號12F之3"
"83","銓鈦牙醫診所","銓泰牙體技術所","skipped_review","0.460","0.500","0.000","桃園市","桃園區","桃園市桃園區玉山街212巷14弄12號1樓","桃園市桃園區春日路860號1樓"
"85","永泰技工所","永泰牙體技術所","already_current","1.120","1.000","1.000","桃園市","八德區","桃園市八德區永安街13巷14號","桃園市八德區永安街13巷14號"
"86","精湛技工所","精湛牙體技術所","already_current","1.120","1.000","1.000","桃園市","八德區","桃園市八德區中興街36-1號2F","桃園市八德區中興街36-1號2F"
"87","鴻海技工所(陳介智先生)","鴻海牙體技術所","already_current","0.814","0.550","1.000","桃園市","大溪區","桃園市大溪區文化路129巷21號","桃園市大溪區文化路129巷21號"
"88","宏霖技工所(宏昇)","宏霖牙體技術所","already_current","0.882","0.650","1.000","桃園市","蘆竹區","桃園市蘆竹區新興街344巷63弄10號","桃園市蘆竹區新興街344巷63弄10號"
