csv_row,excel_name,notion_name,match_method,match_count,result,target_city,target_district,old_notion_address,updated_address
"65","曜澄技工所","曜澄牙體技術所","name-address-fuzzy","1","updated","桃園市","中壢區","桃園市中壢區龍岡路3段243巷73弄1號1-2樓","桃園市中壢區龍岡路三段243巷73弄1號"
"66","名揚技工所(陳貴宗先生)","名揚牙體技術所","address-updated-exact","1","already_current","桃園市","平鎮區","桃園市平鎮區福林里5鄰39號","桃園市平鎮區福林里5鄰39號"
"67","捷安技工所(傅穗舟先生)","捷安牙體技術所","address-updated-exact","1","already_current","桃園市","平鎮區","桃園市平鎮區東豐路528巷1弄12號","桃園市平鎮區東豐路528巷1弄12號"
"68","潔明牙醫診所","潔明牙醫診所","address-original-exact","1","already_current","桃園市","平鎮區","桃園市平鎮區和平路33號","桃園市平鎮區和平路33號"
"69","仁和牙科技工所","仁和牙科牙體技術所","name-address-fuzzy","1","updated","桃園市","觀音區","桃園市觀音區崙坪村忠愛路3段230號","桃園市觀音區崙坪里忠愛路3段230號"
"70","鴻興牙體技術所","","","0","skipped_not_found","桃園市","觀音區","","桃園市觀音區中正路293巷2號"
"71","大安技工所","大安牙體技術所","name-address-fuzzy","1","updated","桃園市","桃園區","桃園市桃園區泰山里泰山街47巷24號","桃園市桃園區泰山街47巷24號"
"72","源昇技工所","源昇牙體技術所","name-address-fuzzy","1","updated","桃園市","桃園區","桃園市桃園區昆明路138巷30號1樓","桃園市桃園區昆明路138巷30號"
"73","精美技工所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區永安北路445巷1號"
"74","晟生技工所","","","0","skipped_not_found","桃園市","龜山區","","桃園市龜山區明興街114巷13弄2號1樓"
"75","民富技工所","民富牙體技術所","address-updated-exact","1","already_current","桃園市","桃園區","桃園市桃園區民富二街68號7樓","桃園市桃園區民富二街68號7樓"
"76","保時潔技工所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區德壽二街3號"
"77","禾康技工所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區同安街406號7F"
"78","林仲豪先生","鴻元牙體技術所","address-original-exact","1","updated","桃園市","桃園區","桃園市大業路2段252號","桃園市桃園區大業路2段252號"
"79","風采矯正牙醫診所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區中山路888號"
"80","優耐特牙體技術所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區中山路1000號3樓之2"
"81","京鼎牙醫診所(瑞安)","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區新埔六街87號"
"82","樂亞牙體技術所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區正光路423號12F之3"
"83","銓鈦牙醫診所","","","0","skipped_not_found","桃園市","桃園區","","桃園市桃園區春日路860號1樓"
"85","永泰技工所","永泰牙體技術所","address-updated-exact","1","already_current","桃園市","八德區","桃園市八德區永安街13巷14號","桃園市八德區永安街13巷14號"
"86","精湛技工所","精湛牙體技術所","address-updated-exact","1","already_current","桃園市","八德區","桃園市八德區中興街36-1號2F","桃園市八德區中興街36-1號2F"
"87","鴻海技工所(陳介智先生)","鴻海牙體技術所","address-updated-exact","1","already_current","桃園市","大溪區","桃園市大溪區文化路129巷21號","桃園市大溪區文化路129巷21號"
"88","宏霖技工所(宏昇)","宏霖牙體技術所","address-updated-exact","1","already_current","桃園市","蘆竹區","桃園市蘆竹區新興街344巷63弄10號","桃園市蘆竹區新興街344巷63弄10號"
