salesperson,customer_code,excel_name,excel_address,recheck_status,reason,score,name_score,address_score,notion_name,notion_address,notion_type,notion_code,notion_salesperson,notion_page_id,second_name,second_score
"Paul","261003","喜美牙醫診所","宜蘭縣頭城鎮開蘭路85號之4","found_in_notion","地址高度符合","1.020","1.000","1.000","喜美牙醫診所","宜蘭縣頭城鎮開蘭路85號之4","牙醫診所","3734040042","Paul","335dcdaa-fb2a-81ea-9f77-f4105383ee73","喜美牙醫診所","0.660"
"Paul","264003","順益技工所","宜蘭縣員山鄉員山路1段234號","found_in_notion","地址高度符合","1.020","1.000","1.000","順益牙體技術所","宜蘭縣員山鄉員山路1段234號","牙體技術所","2Y34070016","Paul","335dcdaa-fb2a-8185-b1ff-ea946c0cec3e","順益牙體技術所","0.660"
"Paul","266001","維盟技工所-已歇業","宜蘭縣三星鄉上將路2段320號","found_in_notion","地址高度符合","1.020","1.000","1.000","維盟牙體技術所","宜蘭縣三星鄉上將路2段320號","牙體技術所","2Y34100019","Paul","335dcdaa-fb2a-81c7-b838-d82eab1e21ff","維康牙醫診所","0.340"
"Paul","334013","木百麗牙醫(技工室)","桃園市八德區介壽路一段764號","found_in_notion","地址高度符合","0.479","0.200","0.920","栢麗牙醫診所","桃園市八德區介壽路一段764號1、2樓","牙醫診所","3732081830","Paul","335dcdaa-fb2a-81f3-8cc0-c1dd3312d4d7","小木屋牙醫聯合診所","0.315"
"Eason","103022","宏祥技工所","臺北市大同區酒泉街68號4樓之1","found_in_notion","地址高度符合","1.000","1.000","1.000","宏祥技工所","臺北市大同區酒泉街68號4樓之1","牙體技術所","","Eason","396dcdaa-fb2a-8036-853f-d5906c93d5f3","宏祥牙體技術所","0.660"
"Eason","104012","龍興牙體技術所","臺北市中山區復興北路514巷67號5樓","found_in_notion","名稱高度符合","0.660","1.000","0.000","龍興牙體技術所","新北市五股區成泰路四段68號12樓","牙體技術所","2Y31150115","Eason","335dcdaa-fb2a-81a4-866e-e25302e4dda1","龍興牙體技術所","0.660"
"Eason","104059","龍安技工所(臺北)","臺北市中山區龍江路209巷9-3號4樓","found_in_notion","地址高度符合","0.757","0.620","1.000","龍安牙體技術所","臺北市中山區龍江路209巷9-3號4樓","牙體技術所","","Eason","336dcdaa-fb2a-8151-86da-d133fc7031e7","龍安牙醫診所","0.417"
"Eason","241062","柏創技工所","新北市新莊區思源路50號","found_in_notion","地址高度符合","1.020","1.000","1.000","柏創牙體技術所","新北市新莊區思源路50號","牙體技術所","2Y31060063","Eason","335dcdaa-fb2a-8140-9010-d0581531258f","柏創數位牙體技術所","0.748"
"Eason","242018","真承技工所","新北市新莊區西盛街344巷22弄12號6樓","found_in_notion","地址高度符合","1.020","1.000","1.000","真承牙體技術所","新北市新莊區西盛街344巷22弄12號6樓","牙體技術所","2Y31060438","Eason","335dcdaa-fb2a-81d0-9b8d-e4c3b2cc9a76","宏承牙體技術所","0.340"
"Eason","243005","順成技工所","新北市泰山區泰林路二段348號","found_in_notion","地址高度符合","1.000","1.000","1.000","順成技工所","新北市泰山區泰林路二段348號","牙體技術所","","Eason","397dcdaa-fb2a-814c-b890-edff34ee3463","成美牙醫診所","0.340"
"Hank","100037","永生技工所(胡先生)","臺北市中正區汀洲路3段27巷33號1樓","found_in_notion","地址高度符合","0.883","0.787","1.000","永生牙體技術所","臺北市中正區汀洲路3段27巷33號1樓","牙體技術所","2Y01180034","H","335dcdaa-fb2a-81ab-baa4-c8ac16b3add7","永生牙醫診所","0.523"
"Hank","100073","喜樂牙醫診所","臺北市中正區新生南路一段50-1號2樓","found_in_notion","地址高度符合","0.777","0.620","1.000","喜樂新生牙醫診所","臺北市中正區新生南路一段50-1號2樓","牙醫診所","3701184048","","335dcdaa-fb2a-81a4-8924-d22cd80ea512","喜樂牙醫診所","0.660"
"Hank","106050","年展技工所","臺北市文山區羅斯福路6段182號2樓","found_in_notion","地址高度符合","1.020","1.000","1.000","年展牙體技術所","臺北市文山區羅斯福路6段182號2樓","牙體技術所","2Y01200086","黃","335dcdaa-fb2a-810c-9b51-f046007e1c28","永年牙科診所","0.340"
"Hank","116045","立新牙體技術所","臺北市文山區久康街95號1樓","found_in_notion","地址高度符合","1.000","1.000","1.000","立新牙體技術所","臺北市文山區久康街95號1樓","牙體技術所","","","348dcdaa-fb2a-80ea-a759-ec50b88a7cb0","立新牙體技術所","0.660"
"Hank","202004","廖啟鈞","基隆市中正區豐稔街100巷32號8樓","still_unmatched","相似度不足","0.503","0.787","0.000","啟鈞牙體技術所","臺北市內湖區港墘路127巷15號","牙體技術所","","H","336dcdaa-fb2a-8115-b286-cf7e26b12417","廖牙醫診所","0.310"
"Hank","231044","尚豐技工所","新北市新店區安康路3段和成街15巷2號1樓","found_in_notion","地址高度符合","1.020","1.000","1.000","尚豐牙體技術所","新北市新店區安康路3段和成街15巷2號1樓","牙體技術所","2Y31050058","黃","335dcdaa-fb2a-815a-bc0a-f6bb31587a0e","尚豐牙體技術所","0.660"
"Hank","231062","和昇技工所","新北市新店區安祥路104巷49號","found_in_notion","名稱高度符合","0.660","1.000","0.000","和昇牙體技術所","臺北市信義區吳興街269巷1弄26號","牙體技術所","2Y01170092","H","335dcdaa-fb2a-81a6-83bf-f984d8c28b53","昇牙醫診所","0.417"
"Hank","231097","周清泉","新北市新店區大同里二十張路3-4號","still_unmatched","相似度不足","0.310","0.453","0.000","周牙醫診所","臺中市北區一中街二九號一樓","牙醫診所","3717050437","","335dcdaa-fb2a-81e2-8fe1-e6c61b4259ed","周牙醫診所","0.310"
"Hank","300074","陳則元醫師","新竹市東區志平路100號","still_unmatched","相似度不足","0.427","0.667","0.000","陳元恩","嘉義市東區大雅路二段565號-聖馬爾定醫院3樓開刀房","個人","","Sam","336dcdaa-fb2a-81b3-adf9-d02d643313d6","陳春元先生","0.427"
"Hank","300075","新術牙體技術所","新竹市科學園路162巷1弄29號","still_unmatched","相似度不足","0.340","0.500","0.000","新雅牙醫診所","基隆市中正區祥豐街１１號","牙醫診所","3711010108","","335dcdaa-fb2a-819c-b81c-d74794855b79","新豐牙醫診所","0.340"
"Dancan","105097","陳柏瑋先生","臺北市松山區健康路35巷14號8F","found_in_notion","地址高度符合","1.000","1.000","1.000","陳柏瑋先生","臺北市松山區健康路35巷14號8F","個人","","Dancan","397dcdaa-fb2a-81c3-9392-e4f1ce44c195","陳柏志","0.427"
"Dancan","111079","光興牙體技術所","臺北市士林區小北街42號","found_in_notion","地址高度符合","1.000","1.000","1.000","光興牙體技術所","臺北市士林區小北街42號","牙體技術所","","Dancan","397dcdaa-fb2a-81d7-8b6b-f9029d288b34","光民牙醫診所","0.340"
"Dancan","111081","海蒂牙醫診所","臺北市士林區中山北路五段641號","found_in_notion","地址高度符合","1.020","1.000","1.000","海蒂牙醫診所","臺北市士林區中山北路五段641號","牙醫診所","3701157863","Dancan","335dcdaa-fb2a-8148-a11e-d508f9117e4b","海蒂牙醫診所","0.660"
"Dancan","112003","高仕技工所","臺北市北投區石牌路1段33巷6弄1號2樓","found_in_notion","地址高度符合","1.020","1.000","1.000","高仕牙體技術所","臺北市北投區石牌路1段33巷6弄1號2樓","牙體技術所","2Y01160069","Dancan","335dcdaa-fb2a-8109-8113-c02e14512125","高牙醫診所","0.417"
"Dancan","112020","惠生牙醫診所","臺北市北投區明德路123號1樓","found_in_notion","名稱高度符合","0.660","1.000","0.000","惠生牙醫診所","臺中市龍井區中央路一段２４２號","牙醫診所","3736170089","林總","335dcdaa-fb2a-814e-8de1-eb7714480c44","惠生牙醫診所","0.660"
"Dancan","244013","阮柏升","新北市林口區文化二路一段283號","found_in_notion","地址高度符合","1.000","1.000","1.000","阮柏升","新北市林口區文化二路一段283號","個人","","Dancan","397dcdaa-fb2a-814e-92b3-d5b373aedca5","萊德美學牙醫診所","0.351"
"Sam","100061","志明牙醫診所","臺北市中正區寧波西街80號","found_in_notion","地址高度符合","1.000","1.000","1.000","志明牙醫診所","臺北市中正區寧波西街80號","牙醫診所","","Sam","397dcdaa-fb2a-81e2-a00a-c1e5b420cc36","志明牙醫診所","0.660"
"Sam","103045","微笑牙體技術所","臺北市大同區延平北路二段43巷15-1號1樓","found_in_notion","地址高度符合","1.020","1.000","1.000","微笑牙醫診所","臺北市大同區延平北路二段43巷15-1號1樓","牙醫診所","3701110191","Sam","335dcdaa-fb2a-81f5-97f2-e320506a7dff","微笑牙醫診所","0.660"
"Sam","105074","康和牙醫診所","臺北市八德路3段241號","found_in_notion","名稱高度符合","0.912","1.000","0.700","康和牙醫診所","臺北市松山區八德路3段241號","牙醫診所","3701013599","Sam","335dcdaa-fb2a-81ea-b339-c316a0d55ba7","康和牙醫診所","0.660"
"Sam","105084","靜巷美學牙醫","臺北市松山區民權東路三段106巷36號","found_in_notion","地址高度符合","0.883","0.787","1.000","靜巷美學牙醫診所","臺北市松山區民權東路三段106巷36號","牙醫診所","3701014158","Sam","335dcdaa-fb2a-81ad-bf68-d245a5e21a64","美牙牙體技術所","0.340"
"Sam","106121","長青牙醫診所","臺北市大安區敦化南路2段88號","found_in_notion","地址高度符合","1.020","1.000","1.000","長青牙醫診所","臺北市大安區敦化南路2段88號","牙醫診所","3701022338","Sam","335dcdaa-fb2a-813c-8d32-dea97e4b72ea","長青牙醫診所","0.660"
"Sam","112035","東欣牙醫診所","臺北市北投區北投路二段17號","found_in_notion","地址高度符合","1.020","1.000","1.000","東欣牙醫診所","臺北市北投區北投路二段17號","牙醫診所","3701162293","Sam","335dcdaa-fb2a-8109-aa8f-ce98b1932c8d","東欣牙醫診所","0.660"
"Sam","220027","南雅牙醫診所","新北市板橋區南雅南路1段95號","found_in_notion","地址高度符合","1.020","1.000","1.000","南雅牙醫診所","新北市板橋區南雅南路1段95號","牙醫診所","3731013338","Sam","335dcdaa-fb2a-8185-a3a9-e346bae6248e","新雅牙醫診所","0.340"
"Sam","220036","尚好技工所-歇業","新北市板橋區文聖街76號3樓","found_in_notion","地址高度符合","0.700","0.500","1.000","上好牙體技術所","新北市板橋區文聖街76號3樓","牙體技術所","2Y31010376","Sam","335dcdaa-fb2a-819f-a915-da12ff7f5da9","尚好牙體技術所","0.640"
"Sam","220044","精品技工所 (林先生)","新北市板橋區懷德街191巷29號1樓","found_in_notion","地址高度符合","0.883","0.787","1.000","精品牙醫診所","新北市板橋區懷德街191巷29號1樓","牙醫診所","3731014880","Sam","335dcdaa-fb2a-81a6-9bf2-d830d89b08f2","精品牙體技術所","0.523"
"Sam","220052","玉采技工所","新北市板橋區漢生西路163號1樓","found_in_notion","地址高度符合","1.020","1.000","1.000","玉采牙體技術所","新北市板橋區漢生西路163號1樓","牙體技術所","2Y31010107","Sam","335dcdaa-fb2a-8195-939a-f7feefade5ba","和玉牙醫診所","0.340"
"Sam","220084","良德技工所","新北市板橋區中山路2段318巷20弄5號","found_in_notion","地址高度符合","1.000","1.000","1.000","良德技工所","新北市板橋區中山路2段318巷20弄5號","牙體技術所","","Sam","397dcdaa-fb2a-81f5-a47b-f2cacc74d465","良德牙體技術所","0.660"
"Sam","220147","寰宇牙醫診所","新北市板橋區南雅西路2段2號2樓","found_in_notion","名稱高度符合","0.660","1.000","0.000","寰宇牙醫診所","臺北市南港區舊莊街1段91巷14之1號(1樓)","牙醫診所","3701121890","","335dcdaa-fb2a-8146-8050-d10835b91c53","寰宇牙體技術所","0.660"
"Sam","241017","永明技工所","新北市三重區自強路3段87巷14號","found_in_notion","地址高度符合","1.020","1.000","1.000","永明牙體技術所","新北市三重區自強路3段87巷14號","牙體技術所","2Y31020167","Sam","335dcdaa-fb2a-81d2-908a-f92b7bcbe906","明昌牙體技術所","0.340"
"Sam","241064","品嘉技工所(羅文全先生)","新北市汐止區秀山路54號","still_unmatched","相似度不足","0.386","0.571","0.000","嘉文牙醫診所","臺南市中西區五妃里五妃街215號１樓","牙醫診所","3721031379","","335dcdaa-fb2a-8186-97bd-c61ae85c25c1","品嘉牙體技術所","0.353"
"Sam","242001A","新錡技工所(曲先生)","新北市新莊區中原東路58號","found_in_notion","地址高度符合","0.883","0.787","1.000","新錡牙體技術所","新北市新莊區中原東路58號","牙體技術所","2Y31060045","Sam","335dcdaa-fb2a-812b-85e1-cb4556f851df","新雅牙醫診所","0.276"
"Sam","247017","許新發","新北市蘆洲區民生街50號4樓","found_in_notion","地址高度符合","1.000","1.000","1.000","許新發","新北市蘆洲區民生街50號4樓","個人","","Sam","397dcdaa-fb2a-8181-a9d5-d5d02409137e","新發牙體技術所","0.503"
"Sam","247018","上揚技工所","臺北市重慶北路3段278-2號3樓","found_in_notion","名稱高度符合","0.912","1.000","0.700","上揚牙體技術所","臺北市大同區重慶北路3段278-2號3樓","牙體技術所","2Y01090071","Sam","335dcdaa-fb2a-81e1-b276-df391d320919","上揚牙醫診所","0.660"
"Sam","264004","宏祥技工所","宜蘭縣員山鄉惠深一路41號","found_in_notion","地址高度符合","1.020","1.000","1.000","宏祥牙體技術所","宜蘭縣員山鄉惠深一路41號","牙體技術所","2Y34080012","Sam","335dcdaa-fb2a-8152-93e6-c61f50376164","宏祥技工所","0.640"
"Sam","300025","非凡技工所","新竹市東大路2段198號3樓","found_in_notion","名稱高度符合","0.912","1.000","0.700","非凡牙體技術所","新竹市北區東大路二段198號3樓","牙體技術所","2Y12040103","Sam","335dcdaa-fb2a-8127-aeee-ede85c9a684a","非凡牙醫診所","0.660"
"Sam","300033","宏月技工所","新竹市東南街143巷52號","found_in_notion","名稱高度符合","0.912","1.000","0.700","宏月牙體技術所","新竹市東區東南街143巷52號","牙體技術所","2Y12010089","Sam","335dcdaa-fb2a-812d-b223-d97a678b309f","宏承牙體技術所","0.340"
"Sam","300059","協和牙體技術所","新竹市延平路1段23巷7號","found_in_notion","名稱高度符合","0.892","1.000","0.700","協和牙體技術所","新竹市北區延平路1段23巷7號","牙體技術所","","Sam","397dcdaa-fb2a-8142-bcc9-f8c9df169123","協和牙醫診所","0.660"
"Sam","300067","立新牙體技術所","新竹市延平路1段317巷83弄11號","found_in_notion","名稱高度符合","0.892","1.000","0.700","立新牙體技術所","新竹市北區延平路1段317巷83弄11號","牙體技術所","","Sam","397dcdaa-fb2a-815f-a3d2-e4e5bf65aae8","立新牙體技術所","0.660"
"Sam","305005","牙德齒模技工所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","found_in_notion","地址高度符合","1.020","1.000","1.000","牙德牙體技術所","新竹縣新埔鎮田新里9鄰信義二街29巷5號","牙體技術所","2Y33020012","Sam","335dcdaa-fb2a-8189-9b4c-f44c8ca0014d","牙德安牙醫診所","0.523"
"Sam","320002","正典技工所","桃園市平鎮區建明路1段269巷2弄2號","found_in_notion","地址高度符合","1.020","1.000","1.000","正典牙體技術所","桃園市平鎮區建明路1段269巷2弄2號","牙體技術所","2Y32100100","Sam","335dcdaa-fb2a-81dd-9550-e838b854071d","正典牙醫診所","0.660"
"Sam","320027","天成醫院","桃園市中壢區民權路175號","found_in_notion","名稱高度符合","0.660","1.000","0.000","天成醫院","桃園市楊梅區中山北路一段三五六號","醫院","1532040039","Sam","335dcdaa-fb2a-819d-b4c1-efeaebf28716","天成牙體技術所","0.417"
"Sam","320037","曜澄技工所","桃園市中壢區龍岡路三段243巷73弄1號","found_in_notion","地址高度符合","1.020","1.000","1.000","曜澄牙體技術所","桃園市中壢區龍岡路三段243巷73弄1號","牙體技術所","2Y32020303","Sam","335dcdaa-fb2a-81f9-819d-df42252f375c","澄牙醫診所","0.417"
"Sam","324009","名揚技工所(陳貴宗先生)","桃園縣平鎮市福林里5鄰39號","review_needed","有相似候選但不足以自動確認","0.585","0.520","0.700","名揚牙體技術所","桃園市平鎮區福林里5鄰39號","牙體技術所","","Sam","336dcdaa-fb2a-814f-9988-f7e04b44ef68","名揚牙醫診所","0.353"
"Sam","324018","捷安技工所(傅穗舟先生)","桃園縣平鎮市東豐路528巷1弄12號","review_needed","有相似候選但不足以自動確認","0.585","0.520","0.700","捷安牙體技術所","桃園市平鎮區東豐路528巷1弄12號","牙體技術所","","Sam","336dcdaa-fb2a-81a7-8715-fc63d93d2173","捷安牙醫診所","0.353"
"Sam","324024","潔明牙醫診所","桃園市平鎮區和平路33號","found_in_notion","地址高度符合","1.020","1.000","1.000","潔明牙醫診所","桃園市平鎮區和平路33號","牙醫診所","3732100072","Sam","335dcdaa-fb2a-8155-a70a-c80af12e70ae","潔明牙醫診所","0.660"
"Sam","328002","仁和牙科技工所","桃園縣觀音鄉崙坪村忠愛路3段230號","found_in_notion","名稱高度符合","0.660","1.000","0.000","仁和牙醫診所","新北市土城區中央路二段223之1號1、2樓","牙醫診所","3731132570","H","335dcdaa-fb2a-8168-8cfb-cfdebd8f4f16","仁和牙醫診所","0.660"
"Sam","328004","鴻興牙體技術所","桃園市觀音區中正路293巷2號","found_in_notion","地址高度符合","1.000","1.000","1.000","鴻興牙體技術所","桃園市觀音區中正路293巷2號","牙體技術所","","Sam","397dcdaa-fb2a-8146-84cc-db50821b6de5","長興牙醫診所","0.538"
"Sam","330006","大安技工所","桃園市泰山街47巷24號","found_in_notion","名稱高度符合","0.892","1.000","0.700","大安牙體技術所","桃園市桃園區泰山街47巷24號","牙體技術所","","Sam","33cdcdaa-fb2a-815c-9b6d-cf6440c97e79","大安牙醫診所","0.660"
"Sam","330007","源昇技工所","桃園市昆明路138巷30號","found_in_notion","名稱高度符合","0.912","1.000","0.700","源昇牙體技術所","桃園市桃園區昆明路138巷30號","牙體技術所","2Y32010209","Sam","335dcdaa-fb2a-815d-96ac-cfd87fd781e6","昇牙醫診所","0.417"
"Sam","330008","精美技工所","桃園市永安北路445巷1號","found_in_notion","名稱高度符合","0.892","1.000","0.700","精美技工所","桃園市桃園區永安北路445巷1號","牙體技術所","","Sam","396dcdaa-fb2a-806f-86aa-f9209a052b09","精美牙體技術所","0.660"
"Sam","330020","晟生技工所","桃園市龜山區明興街114巷13弄2號1樓","found_in_notion","地址高度符合","1.020","1.000","1.000","晟生牙體技術所","桃園市龜山區明興街114巷13弄2號1樓","牙體技術所","2Y32010398","Sam","335dcdaa-fb2a-8117-a785-fa2084a1e13c","安生牙醫診所","0.340"
"Sam","330028","民富技工所","桃園市民富二街68號7樓","found_in_notion","名稱高度符合","0.912","1.000","0.700","民富牙體技術所","桃園市桃園區民富二街68號7樓","牙體技術所","2Y32010129","Sam","335dcdaa-fb2a-8189-bf0a-ccaba18074a6","富悅牙體技術所","0.340"
"Sam","330047","保時潔技工所","桃園市德壽二街3號","found_in_notion","名稱高度符合","0.858","1.000","0.550","保時潔牙體技術所","桃園市桃園區德壽二街3號","牙體技術所","2Y32010147","Sam","335dcdaa-fb2a-81d1-9467-e244903d7c3e","潔安牙醫診所","0.276"
"Sam","330052","禾康技工所","桃園市同安街406號7F","found_in_notion","名稱高度符合","0.912","1.000","0.700","禾康牙體技術所","桃園市桃園區同安街406號7F","牙體技術所","2Y32010101","Sam","335dcdaa-fb2a-81a8-a0ef-ffe1f4dfd012","禾康牙醫診所","0.660"
"Sam","330054","林仲豪先生","桃園市大業路2段252號","found_in_notion","名稱高度符合","0.892","1.000","0.700","林仲豪先生","桃園市桃園區大業路2段252號","個人","","Sam","397dcdaa-fb2a-81f5-b61b-e52dbd465bc8","林牙醫診所","0.310"
"Sam","330056","風采矯正牙醫診所","桃園市中山路888號","still_unmatched","相似度不足","0.378","0.250","0.550","風華林邊牙醫診所","屏東縣林邊鄉中山路319號1~2樓","牙醫診所","3743191070","","335dcdaa-fb2a-81ed-b62a-f407cf152b12","風采美學牙醫診所","0.340"
"Sam","330063","優耐特牙體技術所","桃園市桃園區中山路1000號3樓之2","found_in_notion","名稱高度符合","0.660","1.000","0.000","優耐特牙體技術所","臺南市中西區淺草里正德街37巷3號1樓","牙體技術所","2Y05340018","","335dcdaa-fb2a-8145-b8c9-c33b3da562f6","優耐特牙體技術所","0.640"
"Sam","330069","京鼎牙醫診所(瑞安)","桃園市桃園區新埔六街87號","found_in_notion","地址高度符合","0.777","0.620","1.000","京鼎牙醫診所","桃園市桃園區新埔六街87號","牙醫診所","3732014179","Sam","335dcdaa-fb2a-8128-a004-ea3ecf6ac464","鼎安牙醫診所","0.447"
"Sam","330077","樂亞牙體技術所","桃園市桃園區正光路423號12F之3","found_in_notion","地址高度符合","0.777","0.620","1.000","樂亞數位牙體技術所","桃園市桃園區正光路423號12F之3","牙體技術所","2Y32010496","Sam","335dcdaa-fb2a-8178-917e-f637bc32cefd","亞德牙醫診所","0.340"
"Sam","330080","銓鈦牙醫診所","桃園市桃園區春日路860號1樓","found_in_notion","地址高度符合","0.351","0.000","0.920","桔蒔美學牙醫診所","桃園市桃園區春日路860號1樓及862號1樓","牙醫診所","3732014660","","395dcdaa-fb2a-812a-ad62-cf4568da24ca","雅鈦牙體技術所","0.340"
"Sam","330088","藝圻牙體技術所","","found_in_notion","名稱高度符合","0.660","1.000","0.000","藝圻牙體技術所","桃園市八德區介壽路2段325巷37號1樓","牙體技術所","2Y32080194","Sam","335dcdaa-fb2a-813f-8cde-f65c7a2b65fd","欣藝牙醫診所","0.340"
"Sam","334002","永泰技工所","八德市永安街13巷14號","found_in_notion","地址高度符合","1.000","1.000","1.000","永泰牙體技術所","桃園市八德區永安街13巷14號","牙體技術所","","Sam","33cdcdaa-fb2a-81b0-9e42-cbb4d120c68d","永泰牙醫診所","0.660"
"Sam","334003","精湛技工所","八德市中興街36-1號2F","found_in_notion","地址高度符合","1.000","1.000","1.000","精湛牙體技術所","桃園市八德區中興街36-1號2F","牙體技術所","","Sam","336dcdaa-fb2a-8106-969d-ce41784dedde","精湛牙醫診所","0.660"
"Sam","335003","鴻海技工所(陳介智先生)","桃園縣大溪鎮文化路129巷21號","review_needed","有相似候選但不足以自動確認","0.585","0.520","0.700","鴻海牙體技術所","桃園市大溪區文化路129巷21號","牙體技術所","","Sam","336dcdaa-fb2a-81ed-8448-ec75a2465163","陳賢瓊牙醫診所","0.378"
"Sam","338001","宏霖技工所(宏昇)","桃園縣蘆竹鄉新興街344巷63弄10號","review_needed","有相似候選但不足以自動確認","0.649","0.620","0.700","宏霖牙體技術所","桃園市蘆竹區新興街344巷63弄10號","牙體技術所","","Sam","336dcdaa-fb2a-8131-90dc-db7c514cde40","宏昇牙醫診所","0.417"
